n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1965,2131.8,2286.5,2459.8,2609.3,2747.4,2888.4,3001.8,NaN,3188.9,3331.4,3541.2,NaN,3618,3798.9,NaN,3989.6,4132.7,4322.4,NaN,4425.2,4608.8,NaN,4801.7,4947.4,5154,NaN,5254.3,5434.6,NaN,5627.9,5774.7,5959.7,6104,6209.5,6389.9,NaN,6582.8,6731.7,6885.2,NaN,7040.4,7226.6,NaN,7422.9,7574.8,7750.6,7899.4,8003.5,8201.4,NaN,8393.5,8563.3
2012.9,2181.6,2337.7,2527,2680.1,2823.9,2964.3,NaN,3146.9,3293.4,3414.3,NaN,3590.6,3695.3,NaN,3944.4,4089.5,4214.5,NaN,4392.1,4503.1,NaN,4756.3,4900.4,5032.2,NaN,5221.8,5332,NaN,5581.5,5735.4,5861.7,6039.7,6172.3,6293.8,NaN,6533.8,6684.3,6816.4,NaN,7001.8,7142.4,NaN,7377.1,7524.1,7658.4,7827.7,7972.4,8088.9,NaN,8350.2,8501,8646.6
