n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l
2131.3,2303.6,2457.9,2604.1,2749.4,2897.4,3050.4,3157.2,NaN,3341.6,3485.3,3702.7,NaN,3785.9,3975,NaN,4167.1,4315.6,4528,NaN,4611.2,4798.2,NaN,4992,5137.2,5354.2,NaN,5437.9,5627.7,NaN,5820.1,5967.8,6151.5,6307.2,6410.4,6600.2,NaN,6795.7,6945.8,7100.8,NaN,7248.2,7435.8,NaN,7632.5,7787.2,7988.8,8140.4,8243.3,8432.8,NaN,8627.4,8779,8997.5,NaN,9081.6,9269.7,NaN,9463.8,9616.2,9838.2,NaN,9918.5,10113,NaN,10313,10466,10620,NaN,10778,10990,11145,11257,11445,NaN,11643,11805,11977,12134,12243,12441,NaN,12639
2183.5,2368,2527,2698.4,2826.6,2976.8,3121.8,NaN,3285.5,3437.4,3571.5,NaN,3748.8,3855.4,NaN,4120.2,4267.1,4400.7,NaN,4580.6,4687.3,NaN,4944.3,5092.8,5219.8,NaN,5403.5,5512.2,NaN,5773.1,5920.3,6050.8,6231.1,6375.9,6482.8,NaN,6747,6897.8,7031.3,NaN,7209.6,7340.9,NaN,7583.4,7735.6,7867.8,8067.9,8207.8,8316.7,NaN,8583.1,8727.9,8866.1,NaN,9046.3,9154.2,NaN,9409.2,9567.5,9697.7,NaN,9888.1,9994.8,NaN,10267,10419,10549,NaN,10740,10873,11066,11220,11352,NaN,11595,11728,11888,12053,12207,12344,NaN,12588,12704
