n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1976.3,2132.2,2337.3,2789.5,3129.7,3297.8,3451.9,3615.6,3768,3919.2,4032.2,NaN,4220,4366.8,4586.7,NaN,4667.6,4857.6,NaN,5055.1,5206.9,5429,NaN,5514.1,5704.7,NaN,5906.8,6057,6279.3,NaN,6360.8,6547.8,6704.2,6815.1,7003.6,NaN,7200.1,7349.1,7544.5,7706.2,7812,7996.5,NaN,8196.3,8350.4,8574.9,NaN,8660.5,8874.1,NaN,9063.1,9216.8,9379.5,NaN,9535.4,9737.4,NaN,9937.8,10098,10315,10471,10584,10771,NaN,10970,11124,11278,NaN,11435,11635,NaN,11835,11994,12166,12326,12436,12629,NaN,12832,12989
2019.2,2175.8,2374.2,2822.7,3182.8,3369.8,3523.6,3690.7,3844.8,3987.1,NaN,4171.3,4317.1,4451.2,NaN,4637.3,4742.6,NaN,5004.2,5155.5,5289,NaN,5479.3,5591.6,NaN,5856.8,6009.8,6141.5,NaN,6328.7,6438.9,6625.6,6777.6,6910.2,NaN,7149,7307.1,7435.1,7624.9,7774,7893.9,NaN,8148.9,8298.9,8437.2,NaN,8628.4,8739.9,NaN,9015.2,9169,9302.9,NaN,9496.6,9627.2,NaN,9888.5,10039,10180,10392,10542,10680,NaN,10923,11076,11208,NaN,11398,11534,NaN,11784,11927,12080,12247,12400,12513,NaN,12780,12937,13072
