n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2643.6,2791.1,2940.8,3082,3224.2,3361.5,3467.5,NaN,3644.8,3786.4,3994.9,NaN,4073.8,4253.8,NaN,4444.8,4594.1,4789.4,NaN,4889.1,5079.5,NaN,5265.8,5416.5,5615.4,5762.8,5869,6045.8,NaN,6238.4,6385.3,6541,NaN,6711.3,6898.3,NaN,7091.5,7234.6,7589.6,7736.2,7836,8027.3,NaN,8214.4,8370.9,8585.7,NaN,8670.5,8880.2,9032.4,9137,9325.4,NaN,9514.5,9660.9
2692.2,2853.1,3015.2,3157.2,3299.6,3433.4,NaN,3591.5,3749.7,3867.8,NaN,4045.1,4149.2,NaN,4402.3,4547.5,4678.4,NaN,4857.5,4968.3,NaN,5221.2,5372.2,5498.3,5694.5,5837.5,5949.4,NaN,6195.4,6340.2,6466.4,NaN,6658,6804.4,NaN,7044.7,7182.9,7317.6,7662.7,7807.9,7915.7,NaN,8171.8,8317.7,8455.5,NaN,8639.5,8752.4,8952.8,9106.3,9221.7,NaN,9470.1,9616.8,9744.8
