n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
2141.2,2313.5,2466.5,2611.3,2765.4,2905.8,3032.7,NaN,3222.1,3363.5,3577.7,NaN,3658,3841.4,NaN,4037.5,4182.9,4397.7,NaN,4478.7,4672.4,NaN,4866.1,5026,5202.8,5351.8,5452.4,5639,NaN,5834.4,5988.8,6151,NaN,6308.6,6493.9,NaN,6689.2,6860,7166.2,7316.7,7425.7,7613.1,NaN,7810.1,7978.7,8180.1,NaN,8273.1,8468,NaN,8668.2,8821.6,9027.4,9179.3,9284.8,9497.4,NaN,9701.1
2197.8,2378.4,2538.6,2688.4,2839.6,2982.8,NaN,3176.1,3316.2,3448,NaN,3629.2,3732,NaN,3990.9,4137.4,4265.3,NaN,4447.9,4549.5,NaN,4820.6,4966,5112.3,5279.4,5420.2,5523.6,NaN,5785.9,5936.7,6076.1,NaN,6265.2,6404.2,NaN,6639.9,6789.8,6944.3,7244.7,7390.2,7504.1,NaN,7765,7913,8061.6,NaN,8242.2,8358.4,NaN,8621.2,8772.2,8907.9,9105.1,9250.2,9359,NaN,9647.4,9800.8
