n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,n,n,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,f,a,b,l,e,d,g,f,n
4498.5,4637.5,4789.8,4933.3,5086.9,5249.3,5393.1,5535.9,5640.8,NaN,5831.1,5975.4,6187.1,NaN,6266.9,6455.6,NaN,6646.9,6794.1,7009,NaN,7085.2,7292.5,7443.8,7595.7,7746.1,7867.5,NaN,8060.1,8207,8428.9,NaN,8508.5,8704.6,NaN,8902.3,9047.2,9272.2,NaN,9355.1,9562.2,9720.2,9878,10038,10193,10308,NaN,10502,10647,10870,NaN,10951,11174,11345,11497,11651,11765,NaN,11964,12116,12352,12504,12723,12881,12999,13195,13353,13501,13652,13755,NaN,13953,14107,14316,NaN,14413,14695,14885,15043,15260,15419,15527,15716,NaN,15914,16072,16295,NaN,16380,16598
4531.9,4687.7,4847.4,4985.6,5153.4,5322.9,5465.5,5610.5,NaN,5777.3,5920.8,6058.5,NaN,6234.5,6332.1,NaN,6599.9,6743.2,6875.8,NaN,7056.1,7162.1,7361.6,7520.2,7672.8,7820.2,NaN,8010.6,8158,8294.1,NaN,8479.9,8585.3,NaN,8854.3,9002.4,9129.4,NaN,9321.6,9430.2,9633.4,9794.9,9960.9,10118,10268,NaN,10455,10608,10733,NaN,10922,11030,11248,11426,11577,11730,NaN,11916,12068,12204,12428,12581,12794,12961,13091,13270,13435,13582,13727,NaN,13895,14060,14195,NaN,14381,14488,14767,14968,15122,15338,15497,15607,NaN,15867,16021,16157,NaN,16349,16455,16670
