n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1827.8,2000.5,2469.5,3168.9,3291.2,3428.4,3571.6,3703.5,3842.5,3956.6,NaN,4145.2,4279.7,4481.8,NaN,4558.7,4740.8,NaN,4925.2,5068.1,5276.3,NaN,5354.2,5539.8,NaN,5727,5872.1,6081.4,NaN,6157.4,6340.4,NaN,6526.9,6671.8,6884.5,NaN,6963.3,7145,NaN,7334.4,7478.7,7690.4,NaN,7770.2,7963,8109.1,8214.5,8416.7,NaN,8592.9,8738,8925.9,9077.1,9183.1,9360.3,NaN,9550.4,9696.5,9871.9,10017,10124,10304,NaN,10495,10638,10854,NaN,10937,11129,NaN,11315,11467,11667,11822,11927,12111,NaN,12301,12444,12659,NaN,12741,12939,NaN,13131,13302,13768,13899,14034,14152,NaN,14340,14489,14702,NaN,14781,14972,NaN,15167,15325,15548,NaN,15630,15823,NaN,16020,16165,16318,NaN,16471,16663,NaN,16856,17007,17219,17371,17480,17675,NaN,17867,18017,18217,NaN,18316,18517,NaN,18711,18875,19024,NaN,19179,19373,NaN,19568,19729,19977,20116,20240,20424,NaN,20617,20774,20999,NaN,21081,21280,NaN,21475,21636
1857.8,2322.4,2612.8,3199.7,3343.7,3501,3637.6,3777.8,3919.1,NaN,4096.4,4222.9,4353.3,NaN,4531.6,4634.7,NaN,4881.6,5024,5152,NaN,5326.2,5433.6,NaN,5682.6,5829.9,5952.1,NaN,6129.3,6236.6,NaN,6483.7,6628,6754.1,NaN,6931.2,7037,NaN,7289.8,7439.7,7560.3,NaN,7739.6,7846.4,8037.2,8179.3,8292,NaN,8545.1,8692.7,8820.6,9007.6,9148.4,9261.3,NaN,9506.6,9650.2,9778.7,9949.8,10088,10202,NaN,10450,10595,10722,NaN,10902,11007,NaN,11273,11417,11549,11743,11893,12008,NaN,12258,12408,12527,NaN,12708,12821,NaN,13087,13231,13382,13830,13972,14105,NaN,14297,14442,14571,NaN,14754,14861,NaN,15122,15276,15408,NaN,15599,15711,NaN,15971,16121,16252,NaN,16433,16567,NaN,16808,16958,17093,17301,17443,17560,NaN,17822,17968,18101,NaN,18283,18397,NaN,18666,18802,18958,NaN,19142,19273,NaN,19524,19668,19812,20029,20192,20333,NaN,20572,20720,20858,NaN,21049,21155,NaN,21427,21579,21723
