n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
2147.5,2311.2,2474.8,2624.4,2775.4,2914.1,3060.4,3159.7,NaN,3342.3,3483,3691.4,NaN,3771.4,3957.7,NaN,4146.6,4293.1,4504.6,NaN,4587.9,4775.7,4926.2,5029.8,5231.7,NaN,5421.7,5568.4,5789.8,NaN,5873,6056.6,NaN,6247.7,6394.4,6619.8,6765.5,6873.8,7060.2,NaN,7254.1,7411.8,7628.4,NaN,7710.2,7910.6,8061.1,8177.9,8379.7,NaN,8567.8,8721.9,8892.4,9046.7,9152.9,9340.5,NaN,9536,9685.9,9909.2,NaN,9992.8
2192.2,2358.2,2523.1,2681.1,2844,2987.1,3122,NaN,3286.9,3439.1,3565.1,NaN,3739.2,3850.1,NaN,4096,4247.2,4377.7,NaN,4555.3,4666.3,4853.4,4995.4,5102.7,NaN,5377.4,5525.2,5650.9,NaN,5841.9,5953.6,NaN,6200.4,6347.1,6477.8,6699.5,6840,6954.5,NaN,7208.1,7360.1,7493.8,NaN,7677,7787.7,7991.3,8140.5,8270.5,NaN,8525.2,8670.8,8802.5,8971.6,9120.5,9234.5,NaN,9488.5,9634.4,9769.4,NaN,9960.7,10072
