n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2979,3116.9,3293.4,3427.7,3574.5,3709.4,3851.3,3946.1,NaN,4133,4273.1,4484.8,NaN,4565.4,4744.8,NaN,4938.2,5083.9,5280.8,NaN,5374.9,5560.2,NaN,5747.4,5890.9,6112.2,NaN,6192.6,6382.4,NaN,6572.6,6720,6914.8,NaN,7014.9,7202.8,NaN,7397.1,7548.3,7754.1,7899.7,8000.8,8187.7,NaN,8382,8529,8677.9,NaN,8831.1,9008.6,9151.8,9266,9451.2,NaN,9646.8,9795.7
3028.6,3166.8,3338.3,3494.1,3649.6,3783.5,3923,NaN,4076,4235,4355.2,NaN,4534.2,4638.5,NaN,4892.3,5042.8,5164.8,NaN,5344.4,5456.8,NaN,5704.7,5847.3,5975.4,NaN,6158.6,6270,NaN,6529.6,6673.3,6804.8,NaN,6981,7093.5,NaN,7351.5,7501.1,7633.2,7831.7,7967.8,8078.5,NaN,8335.2,8480.3,8612.2,NaN,8791.8,8918.6,9081.2,9225.2,9358.6,NaN,9598.2,9751.7,9879.9
