n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
3933.3,4060.8,4208.7,4349.1,4491.4,4632.2,4745.3,NaN,4932.3,5070.7,5281.2,NaN,5360.6,5544.1,NaN,5731.9,5872.8,6088.3,NaN,6167.5,6362.3,NaN,6549.5,6693.5,6904.3,NaN,6986.6,7169.6,NaN,7361.6,7512.2,7719.6,7862.5,7962.4,8144.1,NaN,8334.3,8479.4,8631.4,NaN,8779.8,8964.8,NaN,9157.8
3970.1,4127.2,4281,4421.7,4566.2,4708.4,NaN,4887.6,5034.2,5158.5,NaN,5329.7,5431.7,NaN,5687.8,5835.3,5958.5,NaN,6137.5,6245.6,NaN,6503.2,6656.2,6775.8,NaN,6957,7065,NaN,7316.2,7462.2,7596.2,7794.9,7929.4,8038.5,NaN,8288.4,8434.8,8562.8,NaN,8744.2,8868,NaN,9110.2,9218.9
