n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1987.1,2153.7,2303,2441.6,2581.7,2719.6,2826.1,NaN,3013.9,3154.9,3366.4,NaN,3443.2,3619.8,NaN,3815.1,3950.4,4144.9,NaN,4243.9,4423.8,NaN,4614.9,4754.7,4952.4,NaN,5051.8,5226.8,5373.9,5485.8,5664.9,NaN,5857.1,6010.3,6199.5,6358.2,6462.5,6646.5,NaN,6839.8,6989.5,7159.6,NaN,7304.1,7488.9,NaN,7685.4,7838.8,8052.3,NaN,8157.2,8352.8,NaN,8550.9,8702.9,8871.6,9018.3,9121.9,9312.8,NaN,9506.4,9661.8,9865.8,NaN,9969.2,10177,10340,10485,10635,10761,NaN,10956,11117,11266,NaN,11423,11624,NaN,11821,11988
2032.3,2208.2,2366.8,2516.5,2658,2795.5,NaN,2959,3113.6,3241.2,NaN,3414.9,3521.1,NaN,3763.3,3891.4,4027.7,NaN,4210.1,4316.6,NaN,4568.2,4715.5,4838.7,NaN,5018.8,5128.6,5304.7,5451.1,5560.8,NaN,5812.6,5955.8,6095.5,6279.9,6430.5,6548.6,NaN,6793.8,6944.2,7075.2,NaN,7269.2,7379.2,NaN,7639.9,7792.5,7926.3,NaN,8125.7,8234.7,NaN,8503.3,8626.4,8787.2,8943.8,9091.5,9203.4,NaN,9463.1,9604.9,9743.5,NaN,9938.1,10046,10251,10419,10564,10713,NaN,10912,11042,11201,NaN,11384,11525,NaN,11778,11923,12072
