n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,n
1981.3,2115.2,2261.6,2415.1,2573.7,2721,2874.4,3008,NaN,3190.2,3333.8,3546.3,NaN,3628.9,3826.8,NaN,4017.6,4163.2,4386.3,NaN,4467.8,4686.2,4839.3,4986,5141.5,5297.7,5443.1,5550.6,NaN,5741.4,5887.2,6114.1,NaN,6192.5,6395.6,NaN,6586.1,6742.7,6966,7116,7225.9,7415.5,NaN,7610.5,7761,7981.7,NaN,8063.9,8276,8438,8600.4,8762.7,8916.3,9063
2019.2,2160.5,2322.7,2491.5,2645.8,2797.7,2944.1,NaN,3131,3281,3419.3,NaN,3593.6,3693,NaN,3971.9,4113.2,4246.1,NaN,4435.5,4542.6,4752.8,4916.1,5063.5,5218.9,5371.9,5516.2,NaN,5681.5,5840.5,5972.8,NaN,6164.2,6268.3,NaN,6540.4,6685.4,6827.7,7044.2,7187.2,7316.6,NaN,7561.9,7713.5,7845.5,NaN,8032.6,8142.2,8345.2,8513,8680.7,8842.3,8989.5,9142.5
