n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l
1990.9,2132.5,2274.9,2417.9,2556.4,2692.9,2793.1,NaN,2977.3,3114.8,3321.6,NaN,3398.8,3579.3,NaN,3765.4,3907.4,4115.2,NaN,4196.9,4386.7,NaN,4573.2,4717.4,4928.9,NaN,5007.5,5195.6,5340.6,5444,5619.3,NaN,5806.9,5947.5,6143.2,NaN,6240.3,6423.2,NaN,6613.3,6758.7,6970.1,7113.6,7220,7404.2,NaN,7593.8,7735,7971.9,NaN,8052.1,8239,NaN,8429,8574.8,8782.6,NaN,8885.4,9113.2,9269.7,9404.6,9551,9626.3,NaN,9816.8,9960.6,10166,NaN,10259,10454,NaN,10646,10815,11045,11193,11297,11509,11668,11809,12001,NaN,12192
2024.9,2186.8,2346.1,2492.8,2632.7,2766.5,NaN,2927.3,3077.8,3197,NaN,3371.8,3475.2,NaN,3720.8,3871.8,3989.1,NaN,4164.4,4277.6,NaN,4532.7,4672.5,4801.6,NaN,4977.6,5088.5,5271.5,5412.8,5519.7,NaN,5761.7,5907.7,6030.4,NaN,6211.1,6316,NaN,6567.6,6712,6839.4,7049.6,7183.1,7300.7,NaN,7549.6,7692.6,7818.9,NaN,8022.1,8125.4,NaN,8383.1,8531.3,8659.9,NaN,8849.2,8962.9,9179,9343.8,9483.5,9593.8,NaN,9771.8,9920.6,10045,NaN,10226,10337,NaN,10602,10730,10870,11120,11264,11375,11575,11745,11903,NaN,12152,12302
