n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
3890.6,4028.2,4167.7,4313.8,4463.6,4607.5,4716.5,NaN,4894.4,5034.6,5242.5,NaN,5321.1,5509.1,NaN,5707.8,5856.2
3932.4,4083,4242.3,4387.8,4540.2,4676.9,NaN,4837.2,4979.4,5119.1,NaN,5290.4,5392.8,NaN,5658.1,5807.4,5938
