n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
1985.4,2182.2,2342.1,2486.2,2632.4,2780.7,2922.8,3059.7,NaN,3244.5,3390.1,3601.6,NaN,3684.4,3876.9,NaN,4059.8,4208.6,4426.7,NaN,4505.4,4700,NaN,4897.1,5044.6,5262.5,NaN,5344,5548.7,5694.8,5805.5,5986.1,NaN,6181.8,6332.5,6552.8,NaN,6640.2,6840.3,NaN,7032.4,7186.3,7381.6,7536.2,7645.8,7849.8,NaN,8036.9,8187.8,8372.2,NaN,8497.9,8699,NaN,8898.9,9056.3,9262,9419.6,9528.5,9723.8,NaN,9919.8,10074,10298,NaN,10380,10581,NaN,10782
2016,2226.7,2398.1,2557.6,2704,2855.4,2996.1,NaN,3194.2,3326.4,3471.1,NaN,3649.3,3752.6,NaN,4014.6,4147.7,4288.5,NaN,4476.1,4580.4,NaN,4850.5,4993.9,5127.3,NaN,5313.5,5415.3,5620.2,5767.8,5892.4,NaN,6132.8,6272.4,6414.6,NaN,6601.2,6739.5,NaN,6987,7135.5,7269.5,7460.1,7608.2,7737.9,NaN,7992.3,8127.9,8270.7,NaN,8460.8,8589.5,NaN,8849.5,9001.4,9142.9,9340.5,9494.9,9600.9,NaN,9873.9,10025,10159,NaN,10352,10466,NaN,10736,10880
