n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1990.2,2133.2,2307,2462.1,2601.5,2743.8,2887,2988.4,NaN,3175.9,3319.8,3529.4,NaN,3611.3,3792.4,NaN,3983.1,4129,4341.7,NaN,4420.4,4609.7,NaN,4799.8,4947.7,5127.1,5273.2,5375,5555.9,NaN,5751.2,5904.6,6150.9,6295.2,6400.5,6595.7,NaN,6787.9,6944.5,7167.4,NaN,7250.9,7440.4,NaN,7634.3,7796.7
2024.5,2184.9,2359.3,2525.2,2676.1,2818.2,2957.3,NaN,3123.5,3280,3403,NaN,3579.9,3689.1,NaN,3941,4086,4214.6,NaN,4392.5,4501.1,NaN,4756.3,4901.4,5031.6,5208.2,5346,5454.8,NaN,5706.2,5854.4,5989.3,6226.7,6369.9,6481.2,NaN,6743.9,6884.9,7029.2,NaN,7220.1,7333.2,NaN,7587.9,7735.2,7891.8
