n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
2775.4,2941.6,3112.3,3265.8,3409.2,3552.4,3693,3818.2,NaN,3995.2,4131.8,4338.4,NaN,4416.8,4609.5,NaN,4788,4931.4,5118.7,5262.7,5363.3,5536.8,NaN,5723.2,5869,6070.8,NaN,6151.5,6332.2,NaN,6523.4,6669.4,6875.5,NaN,6955.5,7126.5,7269.6,7372.2,7567.9,NaN,7750.4,7896.3,8113.3,NaN,8192.2,8374.1,NaN,8563.8,8711.6,8926.8,NaN,9009.2,9190.6,NaN,9381.2,9527.9,9738.8,NaN,9821,10009,NaN,10200,10353,10555,10700,10803,11002,NaN,11186,11338,11554,NaN,11635,11815,11964,12073,12270,NaN,12461,12609,12817,NaN,12901,13125,13282,13423,13551,NaN,13743,13901
2813.7,2972.4,3166.9,3335.2,3479.5,3628.4,3768.2,NaN,3945.8,4075.9,4213.2,NaN,4386.1,4483.1,NaN,4744.8,4875.4,5010.2,5193.5,5331.8,5430.8,NaN,5679.3,5815.4,5946.2,NaN,6120.1,6221,NaN,6475.5,6605.2,6745.8,NaN,6922.8,7024.5,7199.5,7335.3,7461.1,NaN,7708.4,7836.8,7974.4,NaN,8160.7,8263.9,NaN,8516,8652.3,8795,NaN,8975.9,9081.1,NaN,9331.6,9469.8,9610.3,NaN,9788.5,9890.6,NaN,10149,10288,10434,10631,10774,10877,NaN,11140,11285,11418,NaN,11605,11705,11890,12035,12162,NaN,12417,12556,12688,NaN,12868,12980,13192,13353,13494,NaN,13696,13843,13984
