n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2325,2462.4,2601.1,2747.3,2850.5,NaN,3039.5,3181.1,3390.9,NaN,3469.1,3654.5,NaN,3845.8,3992.7,4206.1,NaN,4285,4478.1,NaN,4673.9,4829.8,5046.2,NaN,5127.2,5334.2,NaN,5521.5,5670.2,5887.5,6035.2,6136.1,6329.7,NaN,6525.5,6678.7,6894.2,NaN,6974.6,7174.8,NaN,7370.2,7519.7,7782.6,7922.3,8030,8215.1,NaN,8416.4,8561.5,8793.8,NaN,8879.1,9071.9,NaN,9272.4,9429.4,9631.2,NaN,9725.8,9934.4,NaN,10132,10294,10546,10699,10808,10999,NaN,11201,11360
2373.4,2526.2,2673.6,2816.1,NaN,2987.3,3133.6,3263.2,NaN,3439.3,3539.4,NaN,3798.4,3934.7,4074,NaN,4254.8,4367.4,NaN,4619.8,4774.5,4912.5,NaN,5097.8,5200.3,NaN,5470.1,5615.9,5752.8,5963.2,6105.3,6208.8,NaN,6477.4,6627,6761.3,NaN,6945.7,7044.3,NaN,7317.2,7472.5,7601.1,7855.9,7994.1,8102.8,NaN,8363.8,8511.4,8648.3,NaN,8844.5,8956.2,NaN,9225.1,9347.1,9510.6,NaN,9695.1,9801.6,NaN,10083,10237,10378,10619,10772,10903,NaN,11145,11277,11445
