n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
2112.7,2291.6,2465.8,2617,2766.2,2917.8,3066.9,3187.5,NaN,3379.7,3528.4,3743.1,NaN,3822.3,4012.3,NaN,4211.2,4366.9,4590.5,NaN,4672.8,4866.4,5018.2,5121.2,5314.7,NaN,5511.3,5664.7,5844.6,6001,6108.8,6298.9,NaN,6496.9,6651,6804.4,NaN,6953.8,7145.2,NaN,7345,7500.4,7730.3,7885.5,7992.4,8190.7,NaN,8387.5,8538.1,8714.7,NaN,8857.7,9054.1,NaN,9257.7,9409.9,9640.5,9793.2,9900.5,10114,10272,10410,10597,NaN,10797,10958,11535,11679,11824,11957,NaN,12154,12305,12462,NaN,12613,12807,NaN,13005,13163,13318,NaN,13470,13689,13844,13965,14149,NaN,14347,14513,14692,14861,14974,15178,NaN,15385,15541
2160.6,2339.7,2526.7,2690.6,2840,2990.7,3144.1,NaN,3333.4,3466,3609,NaN,3789.5,3894.5,NaN,4161.2,4303.4,4451.8,NaN,4641.1,4750.3,4944.8,5089.2,5197.1,NaN,5454.9,5601.8,5746.4,5925.5,6073.6,6200,NaN,6443.9,6593.7,6736.9,NaN,6917.4,7044,NaN,7295.8,7441.9,7583.1,7813,7957.8,8067.9,NaN,8339.5,8484.6,8621.3,NaN,8821.2,8949.1,NaN,9197.6,9353.7,9494.4,9717.6,9868.3,9976.5,10183,10349,10504,NaN,10744,10896,11047,11607,11758,11900,NaN,12106,12254,12386,NaN,12575,12705,NaN,12958,13104,13247,NaN,13435,13566,13755,13920,14056,NaN,14295,14447,14596,14769,14938,15068,NaN,15326,15485,15626
