n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b
1970.5,2126.6,2308.7,2465.6,2628.8,2780.4,2939.2,3089,3224.1,NaN,3412.2,3558.8,3780,NaN,3862.8,4057.2,NaN,4254.6,4413.7,4572.1,NaN,4740.1,4933.3,NaN,5133.2,5291.6,5443.6,NaN,5599.1,5807.5,NaN,6002.5,6164.6,6346.5,NaN,6502.6,6708.7,6862.9,6971.4,7183.5,NaN
2008.6,2170.5,2348.9,2526.8,2701,2856.6,3017.4,3161,NaN,3367.2,3513.4,3644.9,NaN,3827.5,3937.7,NaN,4199.4,4360.5,4502,NaN,4688.4,4832.4,NaN,5085.1,5235.8,5379,NaN,5562.5,5695.4,NaN,5957.3,6106.1,6251.8,NaN,6461.1,6594.4,6786.8,6936.4,7044.9,NaN,7336.1
