n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l
1976.2,2512,2743,2879.1,3024.8,3164.1,3315.5,3459,3583.6,NaN,3770.6,3913.5,4124.5,NaN,4201.3,4388.8,NaN,4573.8,4720.1,4933.5,NaN,5014.8,5209.8,5352.2,5457.5,5638.9,NaN,5833,5985.8,6202.6,NaN,6283.9,6478.8,NaN,6666.2,6816.6,7027.3,NaN,7109.2,7296,7451.5,7557.1,7792.4,7954.3,8107.5,8208.1,NaN,8403.4,8556.3,8770.9,NaN,8854.5,9061.4,NaN,9256.8,9409.1,9682.5,9831.6,9930.1,10133,NaN,10329,10494,10694,10842,10947,11152,NaN,11351,11503,11720,NaN,11804,12005,NaN,12202,12368,12588,NaN,12670,12872,NaN,13071,13223,13449,NaN,13532,13800,13951,14095,14229,NaN,14428,14587,14807,NaN,14892,15093,NaN,15291,15448,15638,NaN,15766,16008,16184,16330,16466,16664,NaN,16864,17020,17287,NaN,17369,17608,17768,17886,18095,NaN,18295
2007.8,2551.5,2785.9,2934.7,3086.4,3232.4,3393.8,3535.9,NaN,3724.5,3861.8,3995.4,NaN,4172.2,4270.7,NaN,4526.2,4658.7,4801.5,NaN,4983,5086.9,5284.9,5424.3,5528.4,NaN,5785.6,5924.5,6067,NaN,6252.5,6354.8,NaN,6621,6754.8,6897.3,NaN,7079.1,7181.3,7371.2,7525.4,7630.5,7855,8027.6,8180.7,NaN,8348.9,8496.3,8639.5,NaN,8820.8,8926.6,NaN,9207,9343.2,9488.2,9756.2,9899.4,10005,NaN,10283,10420,10574,10771,10914,11020,NaN,11303,11442,11587,NaN,11770,11877,NaN,12152,12293,12446,NaN,12639,12739,NaN,13025,13164,13306,NaN,13500,13604,13858,14029,14176,NaN,14379,14519,14668,NaN,14859,14966,NaN,15244,15384,15533,NaN,15723,15857,16077,16262,16407,16554,NaN,16817,16960,17105,NaN,17339,17435,17684,17842,17976,NaN,18250,18369
