n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,a,b,l,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1975.3,2103.6,2198.5,2841,3010,3160.8,3319.9,3497.4,3805.8,3956,4104.9,4249.3,4390.1,4502.9,NaN,4687.1,4829.8,5041.6,NaN,5122.7,5306.2,NaN,5500.1,5647.4,5864.1,NaN,5948.3,6137.6,NaN,6331.6,6479.9,6703.2,NaN,6784.8,6952.8,7112.5,7219,7399.7,NaN,7593.2,7745.5,7904.3,NaN,8055.5,8240.8,NaN,8439.4,8592.3,8814.6,NaN,8899,9094.8,9246.7,9359.3,9552.5,NaN,9748,9903.2,10154,NaN,10242,10438,NaN,10638,10799,10944,NaN,11206,11365,11506,11658,11789,NaN,11986,12140,12367,NaN,12451,12660,NaN,12864,13194,13342,13456,13657,NaN,13855,14008,14178,NaN,14346,14542,NaN,14744,14907
2041.3,2136.4,2270.6,2888.3,3064.3,3222.8,3378.9,3544.8,3865.2,4021.6,4180.4,4329.5,4463.1,NaN,4635.1,4788.3,4914.2,NaN,5092.8,5198.2,NaN,5453.6,5602,5737.9,NaN,5914.7,6027.8,NaN,6287.3,6434.8,6567.7,NaN,6753.1,6861.2,7029.3,7187.4,7296.3,NaN,7547.4,7702.3,7827.2,NaN,8019.7,8156.6,NaN,8387.8,8545.5,8675.8,NaN,8864.6,8975.4,9171.2,9326.2,9431,NaN,9704.7,9853.5,9990.8,NaN,10207,10318,NaN,10592,10749,10885,NaN,11065,11276,11442,11586,11739,NaN,11944,12094,12225,NaN,12420,12531,NaN,12812,12942,13262,13421,13530,NaN,13812,13964,14096,NaN,14301,14446,NaN,14692,14849,14993
