n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l
1984.7,2169.9,2318.7,2465.4,2607.1,2736.2,NaN,2928.5,3070.5,3278.3,NaN,3356.8,3540.9,NaN,3730.2,3875.9,4092.6,4239.4,4344.6,4529,NaN,4726.9,4875.1,5088.1,NaN,5171.7,5367.2,NaN,5561.5,5715.8,5888.4,NaN,6034.2,6217,6372.4,6480.3,6675.8,NaN,6870.7,7021.7,7275.5,7427.4,7529.2,7725.9,NaN,7920,8067.3,8220.2,NaN,8385.2,8584.6,NaN,8782.1,8942.6,9175.8,9334.9,9449.3,9640.3,NaN,9832.9,9989.2,10217,NaN,10301,10525,10687,10802,11006,NaN,11202,11365,11520,NaN,11681,11959,12141,12283,12408,NaN,12605,12756,12993,NaN,13076,13262,NaN,13459
2026.2,2214,2380.8,2539.5,2683.5,NaN,2885.2,3027.6,3151,NaN,3328.2,3434.6,NaN,3685.6,3835.5,3960.2,4166.6,4311.1,4425.2,NaN,4677.6,4832.4,4959,NaN,5141,5250.9,NaN,5517.7,5669.2,5800.4,NaN,5998.8,6130.6,6294.5,6446,6561.3,NaN,6825.8,6972.2,7110.2,7348.6,7501.8,7610.7,NaN,7876.2,8028.2,8152.6,NaN,8338.8,8478.7,NaN,8734.8,8891.2,9026.7,9249.2,9407.3,9539.3,NaN,9787.2,9935.7,10072,NaN,10269,10384,10595,10760,10905,NaN,11157,11305,11448,NaN,11641,11784,12022,12218,12361,NaN,12560,12706,12841,NaN,13044,13163,NaN,13413,13543
