n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2429.5,2576.3,2729,2867.6,3009.7,3148.3,3290.1,3399.4,NaN,3585.3,3720.6,3926.8,NaN,4004.8,4189.3,NaN,4374.1,4519.2,4729.3,NaN,4805.5,5001,NaN,5188.5,5330.1,5542.1,NaN,5623.5,5815.2,5962.2,6069.8,6250,NaN,6437.8,6578.6,6792.3,NaN,6875.5,7071.2,NaN,7252,7397.8,7594.8,NaN,7694.8,7875.8,NaN,8065.6,8207,8403.1,8544.9,8649.9,8833.5,NaN,9021.7,9166.9,9445.8,9581.9,9686.1,9868.7,NaN,10061,10214,10428,NaN,10512,10721,NaN,10914,11063,11260,NaN,11355,11556,11733,11874,12003,NaN,12196,12344,12555,NaN,12651,12849,NaN,13043,13206,13407,NaN,13505,13706,13855,13962,14158,NaN,14353,14501,14708,NaN,14808,14996,NaN,15191,15346
2465.8,2636.3,2798.9,2937.7,3084.7,3222.8,3363.6,NaN,3540.6,3683.4,3802.5,NaN,3974,4079.8,NaN,4331.3,4475,4602.5,NaN,4776,4880.4,NaN,5145.1,5288.5,5415,NaN,5590.2,5701.2,5888.9,6032.6,6160.1,NaN,6394.1,6531.1,6661.5,NaN,6841.6,6952.4,NaN,7205.4,7352.6,7479.5,NaN,7661.5,7773.6,NaN,8021.4,8166.8,8293.5,8482.3,8615.8,8725.1,NaN,8980.1,9126.4,9250.3,9512.1,9649.6,9762.1,NaN,10016,10166,10299,NaN,10476,10586,NaN,10867,11016,11147,NaN,11326,11436,11630,11805,11953,NaN,12151,12298,12428,NaN,12618,12735,NaN,12998,13140,13292,NaN,13473,13584,13783,13928,14042,NaN,14305,14449,14583,NaN,14777,14883,NaN,15144,15298,15432
