n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f
2101.7,2247.5,2404,2565,2688.7,2841.9,2986.9,3113.2,NaN,3301.1,3448.3,3658.2,NaN,3740.4,3954.7,4114.4,4264.3,4406.2,4516.7,NaN,4708.8,4855.9,5071.3,NaN,5152.1,5334.6,NaN,5530.2,5683.7,5900.8,NaN,5983.3,6191.2,6346.6,6488.1,6676.1,NaN,6870.8,7022.7,7223.4,NaN,7320.9,7517.8,NaN,7714.6,7866.1,8110.3,8253.3,8355.9,8545,NaN,8739.9,8893.9,9099.2,NaN,9198.4,9395.8,NaN,9591.3,9742,9950.8,10099,10208,10401,NaN,10597,10754,10955,NaN,11052,11252,NaN,11448,11603,11834,11985,12088,12276,NaN,12476,12643,12846,NaN,12946,13169,13324,13444,13639,NaN,13836,13995,14196,NaN,14296,14575,14753,14903,15015,15212,NaN,15413,15575,15782,NaN,15878,16099,NaN,16290,16446,16656,16809,16923,17124,NaN,17320,17492,17697,NaN,17797,18045,18219,18367,18502,NaN,18699,18863,19085,NaN,19167,19370,NaN,19571,19739,19963,NaN,20044,20311,20488,20644,20798,20921,NaN,21121,21300,21520,NaN,21604,21829,NaN,22028,22203,22359,NaN,22512
2163.1,2313.5,2466,2617.7,2751.6,2914.3,3062.2,NaN,3251.8,3393.5,3530.8,NaN,3707.4,3812,4031.8,4192.7,4342.5,4481.5,NaN,4652,4806.3,4939.1,NaN,5121.7,5223.4,NaN,5480.1,5630.7,5764.6,NaN,5948.9,6059.8,6265.5,6425,6577,NaN,6822.8,6978.9,7106,NaN,7286.3,7395.5,NaN,7664.4,7819.3,7949.2,8186,8325.7,8429.8,NaN,8692.8,8843.1,8977.5,NaN,9163.9,9271.7,NaN,9544,9690.2,9826.2,10032,10175,10289,NaN,10553,10686,10837,NaN,11021,11135,NaN,11404,11554,11693,11913,12058,12168,NaN,12423,12581,12727,NaN,12911,13019,13238,13398,13537,NaN,13787,13939,14081,NaN,14263,14383,14621,14825,14981,15095,NaN,15358,15519,15662,NaN,15847,15959,NaN,16240,16389,16530,16734,16884,17015,NaN,17274,17426,17578,NaN,17761,17884,18105,18295,18438,NaN,18654,18805,18950,NaN,19135,19239,NaN,19523,19673,19822,NaN,20015,20132,20377,20568,20721,20872,NaN,21073,21224,21386,NaN,21572,21677,NaN,21978,22134,22286,NaN,22476,22604
