n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
1503.1,1638,1970.8,2142.8,2324.9,2591.6,2762.6,2923.9,3075.8,3225.2,3376,3526,3672.8,3786.7,NaN,3983.1,4131.2,4352.5,NaN,4433.2,4625.2,NaN,4821,4973,5124.9,NaN,5272.8,5468,NaN,5665.1,5814.2,5972.8,6213.4,6372.7,6485.8,6673.5,NaN,6872.1,7022,7176,NaN,7329.3,7521.8,NaN,7722.9,7879.9,8069.5,8227.9,8338.9,8528.8,NaN,8727,8877.8,9038.4,NaN,9191.8,9392.6,NaN,9591,9750.3,10020,10175,10284,10464,NaN,10660,10823,11045,NaN,11128,11348,11505,11660,11806,11944,NaN,12142,12298,12523,NaN,12606,12813,NaN,13011,13173,13441,13606,13719,13914,NaN,14120,14288,14513,NaN,14594,14798,NaN,14999,15158,15405,15573,15683,15885,NaN,16088,16253,16476,NaN,16562,16760,NaN,16959,17119,17282,NaN,17444,17656,17828,17942,18179,18379,18525,18678,18825,18947,NaN,19139,19297,19522,NaN,19610,19847,20010,20187,20338,20465,NaN,20665,20819,20980,NaN,21145,21340,NaN,21539,21699,22011,22183,22299,22504,NaN,22705
1534.1,1681.3,2018.3,2183.9,2374.8,2646.8,2832.2,2998.1,3146.2,3299.1,3455.1,3628,3748.3,NaN,3933.6,4089.8,4220,NaN,4403.6,4509,NaN,4773.8,4920.9,5057.8,NaN,5237.2,5368.2,NaN,5614.8,5769.4,5902.3,6089.9,6285.4,6447.9,6586.5,NaN,6827.2,6975.1,7108,NaN,7293.5,7429.4,NaN,7673.7,7826,7965.5,8152.4,8298.1,8423.6,NaN,8677.3,8835.1,8968.7,NaN,9154.2,9291,NaN,9540.3,9695.2,9836.6,10099,10247,10367,NaN,10615,10760,10908,NaN,11099,11202,11419,11587,11740,11888,NaN,12096,12251,12385,NaN,12576,12681,NaN,12961,13116,13260,13520,13678,13807,NaN,14068,14223,14374,NaN,14563,14672,NaN,14953,15103,15246,15479,15648,15789,NaN,16037,16197,16339,NaN,16529,16637,NaN,16914,17057,17210,NaN,17405,17551,17737,17904,18041,18247,18460,18607,18763,18909,NaN,19093,19245,19386,NaN,19575,19682,19918,20086,20264,20418,NaN,20617,20767,20908,NaN,21106,21238,NaN,21492,21643,21788,22063,22254,22397,NaN,22658,22788
