n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e
2940.1,3097.2,3280.9,3442.6,3582,3739.3,3898.1,4011.3,NaN,4211.5,4359.8,4576.7,NaN,4656.8,4848.4,NaN,5042.4,5190.8,5346.8,NaN,5496.1,5683.6,NaN,5879.9,6028.9,6258.4,NaN,6344.7,6532.9,NaN,6730.8,6884.8,7115.6,NaN,7197.1,7404.8,NaN,7594.3,7743.7,7935.6,NaN,8082.6,8279.6,NaN,8478.3,8628.7,8850.8,NaN,8935.3,9144.3,9296.7,9456.2,9605.3,9729.9,NaN,9927.5,10080,10308,NaN,10391,10594,NaN,10795,10951,11150,11307,11424,11610,NaN,11809,11963,12192,NaN,12275,12493,12653,12810,12963,13078,NaN,13278,13434,13596,NaN,13858,14024,14183,14340,14495,14634,NaN,14839,14989,15167,NaN,15321,15542,15708,15827,16018,NaN,16223,16389,16658,16802,16943,17126,NaN,17332,17489,17658,17913,18074,18229,18387,18530,NaN,18733,18885,19050,NaN,19211,19415,NaN,19619,19792,20214,20366,20508,20686,NaN,20892,21049,21288,NaN,21376,21596,21755,21876,22092,NaN,22299,22468,22961,23110,23262,23406,NaN,23601,23751,23909,NaN,24070,24293,24460,24622,24787,24932,25057,NaN,25261,25439
2989.4,3155,3328.4,3493.4,3647.4,3813.9,3976,NaN,4160.8,4306,4444.5,NaN,4625.2,4732,NaN,4991.9,5144.6,5276.2,NaN,5459.8,5589.4,NaN,5828,5979.1,6116.4,NaN,6307.1,6417.2,NaN,6677,6837.3,6969.5,NaN,7165.8,7271.9,NaN,7541.7,7699.2,7833.3,NaN,8045.7,8174.7,NaN,8423.5,8574.2,8714.7,NaN,8899.4,9012,9213.4,9375.2,9536.4,9682.9,NaN,9880.1,10031,10167,NaN,10362,10470,NaN,10742,10901,11038,11230,11385,11521,NaN,11761,11915,12045,NaN,12241,12350,12566,12731,12890,13042,NaN,13230,13386,13520,NaN,13718,13930,14105,14265,14420,14576,NaN,14788,14945,15075,NaN,15282,15412,15618,15785,15918,NaN,16172,16325,16477,16711,16882,17038,NaN,17282,17440,17576,17779,17990,18156,18309,18462,NaN,18681,18838,18976,NaN,19167,19306,NaN,19569,19718,19882,20283,20443,20599,NaN,20840,20987,21136,NaN,21341,21454,21668,21833,21971,NaN,22248,22394,22550,23029,23189,23341,NaN,23553,23702,23839,NaN,24030,24163,24363,24543,24694,24870,25014,NaN,25213,25351,25518
