n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g
1991.1,2818.9,2970.5,3116,3252.8,3393.4,3530.5,3689.8,3842.6,3956.9,NaN,4138.6,4279.8,4495.2,NaN,4578,4755.2,NaN,4947.5,5092.1,5306.1,NaN,5391.9,5574.1,NaN,5766.7,5917.3,6131.1,NaN,6214.7,6404.3,NaN,6597.8,6749.3,6926.3,7082,7190.7,7373.2,NaN,7566,7716.3,7927.7,NaN,8014.4,8199.3,8347.8,8456.9,8650.4,NaN,8846.6,8995.2,9216.5,NaN,9299.3,9492.4,NaN,9683.9,9832,10052,NaN,10135,10327,NaN,10520,10669,10838,10994,11104,11285,NaN,11478,11625,11872,12017,12119,12313,NaN,12510,12667,12890,NaN,12973,13166,NaN,13361,13507,13843,13991,14094,14288,NaN,14485,14650,14800,NaN,14954,15157,NaN,15354,15503,15672,NaN,15824,16026,NaN,16223,16495,16646,16753,16952,NaN,17151,17315,17546,NaN,17628,17853,18013,18160,18298,NaN,18495,18656,18874,NaN,18960,19174,NaN,19374,19522,19676,NaN
2029.5,2857.7,3029.2,3177.8,3317.2,3452.7,3601.2,3765.5,3915.5,NaN,4091,4241,4362.3,NaN,4542.5,4646.4,NaN,4897.4,5045.3,5175.8,NaN,5354.6,5463.8,NaN,5716.2,5867.5,5998.3,NaN,6180.8,6291.8,NaN,6552.3,6703.6,6830.7,7006.6,7151.2,7256.2,NaN,7520,7666.5,7800.1,NaN,7979.8,8089.8,8276,8422.8,8530.5,NaN,8799.5,8947.2,9081,NaN,9266.1,9373.9,NaN,9638.4,9790.3,9914.2,NaN,10102,10211,NaN,10470,10621,10750,10914,11070,11182,NaN,11433,11580,11712,11947,12088,12198,NaN,12462,12614,12752,NaN,12943,13053,NaN,13315,13462,13591,13919,14064,14173,NaN,14434,14591,14730,NaN,14916,15045,NaN,15303,15458,15589,NaN,15788,15917,NaN,16174,16328,16571,16723,16826,NaN,17103,17254,17396,NaN,17598,17708,17922,18091,18239,NaN,18448,18601,18741,NaN,18929,19041,NaN,19322,19479,19607,NaN,19794
