n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l
2055.4,2293.4,2445.8,2595.2,2736.4,2877.5,2987.6,NaN,3177.2,3319.6,3534.1,NaN,3612.3,3805.4,NaN,3995.1,4145.5,4361.9,NaN,4450.7,4636.6,NaN,4827.6,4972.4,5179.6,NaN,5278.3,5466.5,NaN,5659.7,5812.7,5988.3,NaN,6114.7,6300,NaN,6493.4
2177.2,2362.8,2518.1,2671.5,2810.6,2952.2,NaN,3132,3282.2,3406.1,NaN,3584.2,3685.8,NaN,3953,4099.9,4228.1,NaN,4421.1,4528.9,NaN,4782.5,4930,5059,NaN,5245.2,5355.1,NaN,5611.2,5761.4,5899.5,NaN,6084.1,6195.7,NaN,6448.4,6597.3
