n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3004.9,3154.7,3303,3476.1,3624.7,3764.9,3907,4017.7,NaN,4195.1,4336.4,4549.6,NaN,4628.6,4803.1,NaN,4989.6,5133.5,5339.5,NaN,5420.6,5604.6,NaN,5794.5,5937.9,6139.6,NaN,6231.1,6415.1,NaN,6607,6748.4,6960.2,NaN,7040.7,7229.2,NaN,7418.1,7564.8,7763.7,7904,8007.9,8192.5,NaN,8385.7,8534.3,8732.1,NaN,8825.8,9008.8,NaN,9202,9352.2,9528.7,9675.5,9780.5,9959.2,NaN,10152,10299,10513,NaN,10595,10782,NaN,10977,11122,11325,11473,11573,11760,NaN,11952,12109,12266,NaN,12408,12597,NaN,12792,12946,13167,13312,13420,13606,NaN,13800,13950,14169,NaN,14251,14444,NaN,14642,14796,15172,15311,15424,15608,NaN,15804,15956,16367,16507,16655,16772,NaN,16960,17108,17317,NaN,17410,17636,17787,17946,18062,NaN,18258,18409,18900,19024,19168,19287,NaN,19473,19621,19842,NaN,19923,20120,NaN,20320,20492,20645,20807,21101,NaN,21320,21460,21682,NaN,21768,21962,NaN,22165,22324,22567,22717,22824,23020,NaN,23220,23372
3110.7,3238.7,3355.2,3547.8,3697.9,3836.3,3977.4,NaN,4138,4292.3,4417.3,NaN,4595.6,4691.9,NaN,4943.2,5094.7,5215.2,NaN,5388.1,5491.7,NaN,5749.7,5895.2,6020.6,NaN,6199.4,6311.5,NaN,6557.8,6698.2,6826.2,NaN,7006.7,7108.9,NaN,7371.1,7512.3,7651.2,7836,7973.8,8078.2,NaN,8339.8,8487.1,8614.6,NaN,8795.3,8896.7,NaN,9154.2,9295.8,9430.3,9602.4,9746.9,9850.4,NaN,10106,10254,10384,NaN,10562,10670,NaN,10932,11064,11204,11399,11542,11647,NaN,11906,12045,12193,NaN,12372,12498,NaN,12741,12883,13029,13244,13383,13505,NaN,13755,13904,14036,NaN,14217,14328,NaN,14597,14746,14876,15241,15389,15518,NaN,15756,15907,16039,16434,16587,16732,NaN,16912,17055,17196,NaN,17381,17489,17699,17863,18021,NaN,18212,18360,18491,18945,19101,19243,NaN,19421,19572,19705,NaN,19890,19993,NaN,20270,20421,20573,20722,21006,NaN,21251,21410,21543,NaN,21730,21854,NaN,22109,22261,22407,22643,22791,22910,NaN,23174,23319,23456
