n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n
1989.4,2124.9,2260.7,2399.6,2554.2,2689.2,2820.2,2973.4,3120.7,3263.7,3376.5,NaN,3559.7,3704.1,3914.3,NaN,3994.8,4178.2,NaN,4369.8,4516.8,4729.4,NaN,4812.2,4993,NaN,5182.2,5322.8,5539.4,NaN,5621.6,5836.7,5976.4,6083.5,6255.9,NaN,6448.4,6592.3,6791.4,NaN,6889.6,7073.5,NaN,7265.2,7410.2,7577.8,7730.4,7830.2,8011.4,NaN,8207.5,8353.3,8568.9,NaN,8650.3,8830.5,NaN,9023.6,9174.4,9389.4,9534.3,9640.1,9824.1,NaN,10019,10166,10333,NaN,10466,10659,NaN,10852,11000,11220,NaN,11304,11502,11646,11766,11952,NaN,12146,12292,12510,NaN,12594,12789,NaN,12988,13158,13321,13489,13595,13795,NaN,13988,14154,14355,14508,14610,14801,NaN,14999,15166,15393,NaN,15478,15717,15864,16000,16151,16266,NaN,16461,16608,16824,NaN,16906,17105,NaN,17300,17458,17613,NaN,17770,18014,18171,18282,18470,NaN,18671,18840,19010,19252
2029.5,2169.9,2319.7,2466.4,2610.2,2750.7,2886,3051.8,3198.7,3337.7,NaN,3504.6,3657.8,3784.9,NaN,3962.8,4068.2,NaN,4324.9,4474.7,4605.5,NaN,4779,4889.6,NaN,5136.3,5282.4,5408.4,NaN,5592.5,5731.7,5904.8,6046,6169.1,NaN,6403,6549.5,6674.7,NaN,6855,6957,NaN,7221.5,7358,7491.8,7654.2,7801.4,7901.2,NaN,8160.1,8304.6,8437.3,NaN,8617.9,8716.3,NaN,8979.2,9113.3,9256.1,9464.6,9603.1,9728.3,NaN,9972.5,10118,10246,NaN,10430,10555,NaN,10805,10943,11083,NaN,11272,11372,11577,11720,11853,NaN,12101,12233,12373,NaN,12560,12665,NaN,12942,13077,13240,13397,13561,13670,NaN,13944,14063,14239,14432,14579,14687,NaN,14952,15091,15248,NaN,15443,15551,15782,15945,16078,16229,NaN,16416,16548,16691,NaN,16874,16982,NaN,17255,17399,17541,NaN,17723,17860,18083,18241,18373,NaN,18623,18770,18925,19119,19320
