n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f
2247.2,2392.8,2528.3,2676.1,2817.2,2952.5,3045.3,NaN,3240.3,3379.9,3589.9,NaN,3667.2,3846.5,NaN,4035.5,4185.1,4400.2,NaN,4481.1,4680.7,4821.8,4931.1,5115.5,NaN,5309.7,5457.5,5658.9,NaN,5752.5,5938.8,NaN,6120.5,6287.9,6488.5,NaN,6581.9,6767.3,NaN,6959.7,7111.5,7316.1,7465.8,7577.2,7761.3,NaN,7968.7,8122,8676.8,8811.8,8958.5,9079.4,NaN,9267.6,10038,10179,10319,10462,NaN,10646,10794,10998,NaN,11099,11284,NaN,11481,11632,12701,12852,12993,13125,NaN,13316,13463,13679,NaN,13762,13942,NaN,14138,14309,14658,14796,14914,15099,NaN,15293,15446,15682,15830,15942
2288.8,2448.8,2589,2747.7,2890.5,3017.9,NaN,3179.3,3324.5,3462.5,NaN,3637.8,3732.3,NaN,3993.5,4129.1,4268.6,NaN,4448.6,4548.8,4750.3,4896.2,4999.6,NaN,5262.9,5409.4,5541.9,NaN,5723.4,5825.4,NaN,6074.4,6186.7,6371.5,NaN,6551.3,6661.3,NaN,6913.8,7064.3,7198.4,7395.7,7541.5,7655.4,NaN,7910.8,8050.5,8210.4,8742,8892.5,9037.1,NaN,9211.7,9365.7,10098,10252,10399,NaN,10602,10749,10880,NaN,11068,11173,NaN,11434,11582,11719,12756,12917,13070,NaN,13271,13421,13546,NaN,13728,13829,NaN,14093,14233,14355,14725,14874,15002,NaN,15246,15398,15534,15749,15906,16044
