n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1986.1,2182.1,2347.1,2503.7,2665.9,2815.2,2965.2,3127.8,NaN,3313,3462.4,3682.7,NaN,3761.3,3958.9,NaN,4151.8,4301.5,4536.9,4688.6,4794.9,4980.2,NaN,5173.4,5321.2,5541.1,NaN,5620.5,5819.4,5982.8,6096,6283.7,NaN,6479.6,6625.1,6849.1,NaN,6931.3,7123,NaN,7318,7470.9,7645.1,NaN,7797.8,7985.7,NaN,8179.6,8327.5,8552.4,NaN,8635.5,8836.2,NaN,9029.9,9179.7,9376.6,9524.7,9627.4,9821,NaN,10021,10175,10386,NaN,10483,10675,NaN,10870,11022,11262,NaN,11345,11545,11707,11816,12009,NaN,12206,12357,12581,NaN,12667,12855,NaN,13050,13209,13461,13605,13712,13902,NaN,14100,14259,14485,NaN,14589,14791,NaN,14990,15145
2036.4,2238.5,2415.3,2579.7,2740.2,2890.4,3044.9,NaN,3267.8,3415,3550.2,NaN,3730.4,3840,NaN,4110.3,4256.3,4386.2,4614.4,4760.9,4874.8,NaN,5130,5279.1,5406.3,NaN,5591.4,5699,5900.4,6056.9,6195.1,NaN,6433,6583.7,6709.6,NaN,6899.9,7009.8,NaN,7273.8,7419.7,7557.9,NaN,7762.3,7896.2,NaN,8133.2,8285.8,8415,NaN,8603.2,8710.3,NaN,8985.8,9133,9265.7,9449.4,9596,9709,NaN,9974.8,10131,10261,NaN,10452,10561,NaN,10820,10976,11108,NaN,11315,11431,11622,11775,11892,NaN,12160,12311,12443,NaN,12635,12753,NaN,13007,13133,13292,13527,13679,13793,NaN,14053,14206,14344,NaN,14555,14671,NaN,14946,15095,15233
