n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n
1987.4,2130.7,2317.6,2475.2,2635.5,2796.3,3560.5,3720.9,3870.7,4019.9,4164.4,4305.2,4412.4,NaN,4598.6,4740.2,4954.5,NaN,5034.5,5224.2,NaN,5415.1,5563,5778.8,NaN,5862,6052.8,6203.6,6310,6492,NaN,6686.2,6835.9,7062.4,NaN,7145.6,7340.2,NaN,7527,7678.1,7887.9,NaN,7981.1,8169.2,NaN,8363.7,8520.4,8745.3,NaN,8828.7,9026.8,NaN,9217.9,9366.2,9527,NaN,9678.1,9886.1,10041,10159,10351,NaN,10550,10697,10921,NaN,11006,11207,NaN,11401,11557,11742,11899,12006,12197,NaN,12393,12552,12791,NaN,12879,13083,13244,13392,13544,NaN,13741,13893,14062,NaN,14217,14419,NaN,14614,14786,15014,15161,15268,15456,NaN,15653,15803,15963,NaN,16116,16328,16479,16671,16821,16965,NaN,17164,17314,17473,NaN,17638,17847,NaN,18046,18205,18368,NaN,18539,18768,18924
2028.6,2164.3,2364.6,2526.8,2695.2,2865.1,3609.7,3779.8,3945.8,4095,4235.4,4375.4,NaN,4550,4696.9,4821.7,NaN,5001.8,5102.7,NaN,5370.1,5516.7,5647.8,NaN,5829.1,5936.7,6128.1,6274.6,6384.4,NaN,6637.6,6787.4,6921.4,NaN,7112.5,7217.6,NaN,7475.9,7625.9,7764.9,NaN,7949.1,8056.8,NaN,8313,8465.2,8605.6,NaN,8797.4,8908.8,NaN,9169.9,9330.9,9450.8,NaN,9640.7,9770.8,9958.1,10116,10249,NaN,10503,10653,10780,NaN,10973,11082,NaN,11351,11504,11640,11821,11973,12081,NaN,12344,12500,12636,NaN,12845,12955,13157,13321,13472,NaN,13690,13845,13982,NaN,14180,14317,NaN,14569,14719,14867,15084,15235,15349,NaN,15604,15758,15892,NaN,16079,16210,16401,16555,16749,16899,NaN,17113,17267,17402,NaN,17592,17733,NaN,17994,18145,18289,NaN,18487,18632,18836,18997
