n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1830.4,1989.3,2322.8,2471.9,2615.7,2767.9,2910.5,3051.2,3186.6,3325.2,3434.4,NaN,3622.9,3763,3969.5,NaN,4048.1,4231.3,NaN,4420.7,4563.6,4775.8,NaN,4852.5,5037.1,NaN,5229,5376.2,5590.1,NaN,5669.8,5855.8,NaN,6052.4,6196.5,6413,NaN,6493.8,6676.9,6820.5,6936.7,7113,NaN,7306.7,7453.4,7611.6,NaN,7762.5,7951.5,NaN,8146.1,8292.5,8458.9,8611.1,8723,8923.4,NaN,9118.5,9271,9492,NaN,9574.5,9763.6,NaN,9963.3,10115,10284,10440,10552,10748,NaN,10946,11102,11325,NaN,11412,11608,NaN,11808,11966,12281,12427,12533,12716,NaN,12915,13064,13286,NaN,13372,13574,NaN,13775,13936,14162,NaN,14250,14437,14588,14698,14900,NaN,15100,15257,15474,NaN,15570,15774,NaN,15979,16132,16356,NaN,16444,16641,NaN,16840,17001,17172,17346,17463,17656,NaN,17855,18014,18234,NaN,18321,18528,NaN,18730,18891,19062,19212,19327,19514,NaN,19717,19888
1869.6,2039.1,2365.1,2524.6,2677.1,2835.5,2979.4,3124.9,3262.6,3401.2,NaN,3564.8,3712.5,3843.2,NaN,4018.7,4112,NaN,4376,4510.7,4647,NaN,4825.5,4920,NaN,5185.1,5327.1,5460.3,NaN,5640.2,5743.2,NaN,6002.4,6148.5,6281.5,NaN,6463.6,6566.7,6750.9,6899.7,7026.1,NaN,7261.9,7398.9,7536,NaN,7725.9,7855.4,NaN,8102.4,8245.8,8377.1,8538.9,8688.5,8808.9,NaN,9072.7,9217.5,9353.7,NaN,9544.2,9646.3,NaN,9915.2,10064,10201,10362,10517,10647,NaN,10899,11048,11188,NaN,11377,11484,NaN,11760,11903,12050,12356,12498,12607,NaN,12870,13012,13155,NaN,13338,13444,NaN,13725,13861,14021,NaN,14216,14334,14515,14664,14779,NaN,15054,15196,15344,NaN,15540,15645,NaN,15930,16080,16216,NaN,16409,16516,NaN,16796,16929,17089,17252,17424,17558,NaN,17809,17954,18096,NaN,18288,18397,NaN,18686,18819,18975,19141,19288,19424,NaN,19672,19789,19929
