n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
2386,2517.2,2688.3,2845.1,2991.1,3149.6,3290.5,3442.9,3592.6,3713.7,NaN,3899,4048.4,4262.8,NaN,4343.3,4530.2,NaN,4721.9,4868.2,5088.6,NaN,5171.4,5365.5,NaN,5558.9,5709.1,5927.9,NaN,6011.3,6200.4,NaN,6394.8,6550.2,6739.3,6895.1,6997.3,7216.3,NaN,7401.7,7553.5,7715.2,7871.3,7976.7,8170.7,NaN,8368.1,8520,8735.9,NaN,8817.8,9023,NaN,9218.8,9365.4,9594.2,NaN,9675.6,9876.2,NaN,10075,10230,10452,NaN,10536,10741,NaN,10931,11081,11239,NaN,11388,11581,NaN,11778,11947,12164,NaN,12246,12470,12633,12777,12887,NaN,13081,13236
2426.3,2577.4,2752.5,2905.2,3061.2,3207,3360.5,3519.3,3666.2,NaN,3849.8,3991.5,4136.5,NaN,4310.3,4413.7,NaN,4675,4816.8,4953.2,NaN,5137.6,5244.8,NaN,5509.5,5654.2,5789,NaN,5976.3,6081.1,NaN,6346.9,6484.1,6632.1,6813.5,6964.1,7067.2,NaN,7348,7496.2,7634.9,7793.9,7940,8047,NaN,8316.7,8469.6,8601,NaN,8786.6,8891.4,NaN,9169.8,9310.2,9449.8,NaN,9645,9744.8,NaN,10026,10170,10313,NaN,10502,10607,NaN,10883,11024,11164,NaN,11352,11476,NaN,11731,11875,12028,NaN,12214,12318,12539,12705,12851,NaN,13031,13184,13318
