n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1984.2,2138.2,2294.3,2444.3,2611.4,2762.5,2898.2,3057.3,3207.8,3355.9,3446.8,NaN,3633.3,3785,3997.2,NaN,4078,4270.2,NaN,4466.1,4618.1,4775.9,NaN,4916.7,5111.8,NaN,5305.3,5454.5,5652.3,5804.2,5906.1,6100.5,NaN,6295,6451.3,6670.9,NaN,6752.2,6950.1,NaN,7145.9,7301.3,7513.5,NaN,7594.2,7801,7949.9,8064.7,8257.7,NaN,8452.7,8604.1,8826.3,8969.9,9075,9263.9,NaN,9461.7,9615.4,9835.9,NaN,9917.9,10113,NaN,10311,10462,10684,NaN,10767,10963,NaN,11156,11327,11483,NaN,11629,11825,11979,12082,12268,NaN,12467,12621,12840,12991,13101,13324,13482,13641,13751,NaN,13941,14091,14250,NaN,14395,14600,NaN,14791,14947,15106,NaN,15258,15507,15667,15824,15950,16148,NaN,16345,16497,16674,NaN,16824,17024,NaN,17225,17391,17620,NaN,17706,17908,18068,18179,18399,NaN,18602,18762
2019.7,2194.2,2356.1,2498.7,2670.4,2827.9,2955.4,3126.9,3283.6,3407,NaN,3585,3718.3,3865.8,NaN,4045.8,4150.2,NaN,4416.2,4548.8,4699,NaN,4881.4,5007.5,NaN,5257.3,5392.7,5538,5731.1,5873.5,5976.6,NaN,6247.9,6379.3,6532.8,NaN,6718.9,6818.5,NaN,7097.5,7230.4,7386.7,NaN,7563,7664.6,7876.3,8024.4,8150.8,NaN,8405.7,8547.5,8684.2,8902.1,9044.1,9148.1,NaN,9414.5,9548.2,9695.2,NaN,9884.1,9988.4,NaN,10260,10402,10547,NaN,10737,10840,NaN,11107,11248,11407,NaN,11594,11721,11897,12052,12159,NaN,12419,12564,12702,12919,13065,13174,13392,13563,13709,NaN,13886,14039,14173,NaN,14360,14487,NaN,14744,14883,15032,NaN,15220,15350,15574,15740,15898,16040,NaN,16300,16441,16580,NaN,16783,16918,NaN,17177,17326,17474,NaN,17672,17781,17979,18142,18274,NaN,18552,18683,18847
