n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2116.5,2371.6,2550.1,2792.8,2913.7,3397.3,3561.7,3743.8,3895,4046.5,4194.6,4333.9,NaN,4518,4666.8,4878.4,NaN,4962.2,5145.8,NaN,5339.7,5490.1,5706.8,NaN,5789.1,5967.4,6123.5,6230.8,6410.3,NaN,6607.8,6759.4,6950.8,7103,7210.7,7397.9,NaN,7597.6,7766.8,7987.3,NaN,8070.5,8279.9,8433.5,8581,8737.7,8865.1,NaN,9056.3,9214.9,9443.2,NaN,9527.8,9762.9,NaN,9962.4,10116,10424,10572,10682,10869,NaN,11070,11222,11444,NaN,11527,11724,NaN,11922,12076,12587,12723,12850,13040,NaN,13238,13393,13556,NaN,13713,13912,NaN,14127,14297
2167.8,2420.2,2602,2852.9,3010.8,3460.3,3601.8,3804,3970.6,4122.2,4272.5,NaN,4474.2,4619.2,4752.2,NaN,4931.3,5034.4,NaN,5292.8,5440.3,5572.5,NaN,5759.3,5865.5,6046.8,6197.2,6308.3,NaN,6559.3,6707.1,6844.1,7030.8,7177.9,7282.9,NaN,7551.9,7703.2,7852.7,NaN,8040.1,8148.3,8353.7,8515.4,8661.2,8815.6,NaN,9009.8,9153.7,9302.7,NaN,9496.2,9605.7,NaN,9915.8,10065,10205,10503,10649,10763,NaN,11020,11152,11306,NaN,11496,11603,NaN,11871,12017,12159,12648,12799,12944,NaN,13187,13337,13480,NaN,13675,13816,NaN,14070,14202,14337
