n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
3487.3,3657.1,3830.9,3990.3,4151,4314.8,4460.6,4606.5,4714.7,NaN,4905.1,5045.1,5255.2,NaN,5340.1,5526.2,NaN,5719.8,5863.7,6051.6,6198.5,6307.2,6488,NaN,6682.9,6830.7,7044,NaN,7130.9,7323.4,7473.9,7583,7765,NaN,7953.2,8099.9,8328.5,NaN,8409.2,8604.3,8757.8,8861.5,9041.9,NaN,9235.7,9380.2,9597.8,NaN,9683.4,9871.8,NaN,10065,10214,10413,10562,10668,10856,NaN,11049,11201,11420,NaN,11503,11696,NaN,11891,12047,12309,12461,12565,12757,NaN,12951,13109,13324,NaN,13404,13606,NaN,13802,13961,14191,NaN,14274,14486,NaN,14680,14834
3528.1,3698.1,3883,4051.1,4218.7,4390,4534.2,4680.6,NaN,4848.5,5003.3,5130.2,NaN,5305.9,5413.7,NaN,5674.4,5823.4,5949.6,6131.2,6277.1,6385.6,NaN,6639.7,6788.4,6917.3,NaN,7097,7206.8,7402.5,7550.6,7657.1,NaN,7909.6,8055.7,8186.5,NaN,8379.2,8489.9,8683.9,8830.6,8940.8,NaN,9190.1,9337.8,9465.8,NaN,9649.2,9761,NaN,10017,10169,10303,10495,10632,10754,NaN,11006,11151,11287,NaN,11474,11584,NaN,11844,12002,12131,12388,12534,12650,NaN,12903,13055,13197,NaN,13377,13488,NaN,13759,13908,14048,NaN,14245,14354,NaN,14633,14780,14919
