n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1985,2136.2,2301.6,2461.4,2630.4,2802.2,2969.5,3121.9,3277.8,3414.8,NaN,3600.2,3745.8,3959.2,NaN,4043.3,4232.6,NaN,4428.5,4584.4,4803.2,NaN,4882.8,5080.2,NaN,5273,5423.3,5659.6,5789.3,5925.2,6122,NaN,6317.2,6462.8,6662.3,NaN,6761.7,6960.8,7110.2,7254.9,7384.3,NaN,7575.4,7724.4,7929.6,NaN,8024.7,8215.2,NaN,8410.5,8565.4,8737.9,8904.1,9010.3,9196,NaN,9394.4,9543.1,9752.6,NaN,9854.9,10069,10215,10365,10509,10612,NaN,10807,10958,11178,NaN,11261,11470,NaN,11665,11816,12071,12225,12332,12525,NaN,12722,12873,13033,NaN,13192,13405,13560,13673,13885,14041,14181,14301,NaN,14498,14646,14885,NaN,14972,15178,NaN,15378,15547
2021.7,2185.3,2349.4,2514,2685.1,2857.8,3029,3197.6,3353.3,NaN,3552.1,3690.7,3826.7,NaN,4007.7,4115.8,NaN,4377.6,4514.1,4667,NaN,4851.5,4960.4,NaN,5225.8,5369.3,5505.9,5750.2,5911.1,6060.6,NaN,6269.9,6422.5,6549.6,NaN,6732.1,6840,7039,7191.5,7333.9,NaN,7530.4,7682.7,7809.2,NaN,7994.9,8107.3,NaN,8365.3,8510.6,8648.8,8817.5,8978.5,9081.4,NaN,9350.6,9499.2,9627,NaN,9826.3,9935.8,10143,10296,10445,10583,NaN,10752,10912,11043,NaN,11231,11341,NaN,11621,11770,11903,12156,12298,12415,NaN,12675,12826,12961,NaN,13152,13281,13484,13634,13768,13953,14122,14260,NaN,14454,14606,14733,NaN,14938,15055,NaN,15330,15487,15634
