n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,f,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g
1971.6,2133.4,2313.8,2480.9,2659.1,2812,2972,3126.8,3281.1,3375.8,NaN,3563.7,3714.5,3934.5,NaN,4014.9,4210.4,NaN,4403.7,4547.4,4763,NaN,4848.6,5059.4,5205.7,5357.6,5478.2,NaN,5665.1,5813.5,6033.3,NaN,6113.5,6302.8,NaN,6499.4,6649.3,6837.1,6995.5,7098.8,7307.3,7457.2,7612.7,7722,NaN,7915.6,8066,8282.9,NaN,8363.4,8551.6,NaN,8750,8904.4,9241.1,9387.4,9494.7,9681.9,NaN,9878,10025,10243,NaN,10325,10510,10661,10773,10969,NaN,11167,11315,11523,NaN,11621,11835,11990,12127,12236,NaN,12433,12586,12752,NaN,12898,13094,NaN,13295,13450,13684,NaN,13767,13996,14148,14304,14457,NaN,14655,14809,15027,NaN,15137,15338,NaN,15543,15716,15977,16126,16233,16497,16645,16791,16938,NaN,17138,17292,17511,NaN,17599,17815,17984,18100,18352,18509,18622,19089,19234,19368,19480,NaN,19682,19841,20013,NaN,20161,20365,NaN,20567,20743,20997,NaN,21084,21301,NaN,21508,21667,21861,22024,22129,22325,NaN,22532,22704,22867,NaN
2019.1,2186.7,2369.3,2535.5,2715.9,2873.8,3038.8,3203.6,3340.5,NaN,3502.3,3651.6,3796.9,NaN,3985.1,4085.6,NaN,4353.9,4493,4630.2,NaN,4815,4923.8,5125.9,5278.1,5430.8,NaN,5613.3,5753.6,5896.7,NaN,6080.2,6186.5,NaN,6451.4,6594.8,6731.3,6916.6,7068.8,7174.7,7377.2,7534.2,7688.9,NaN,7859.2,8017.4,8150.9,NaN,8333.2,8436.8,NaN,8702.6,8838.8,8989,9317.7,9461.7,9571.2,NaN,9829.8,9968.1,10112,NaN,10292,10386,10583,10736,10868,NaN,11118,11271,11398,NaN,11586,11695,11903,12067,12206,NaN,12371,12524,12673,NaN,12862,12993,NaN,13247,13392,13533,NaN,13734,13839,14063,14227,14381,NaN,14609,14748,14893,NaN,15096,15233,NaN,15497,15645,15799,16055,16197,16309,16565,16728,16868,NaN,17089,17236,17376,NaN,17565,17671,17888,18060,18197,18421,18583,18715,19156,19314,19447,NaN,19621,19776,19927,NaN,20124,20254,NaN,20519,20663,20824,NaN,21052,21160,NaN,21456,21612,21753,21940,22099,22202,NaN,22479,22632,22787,NaN,22980
