n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1982.4,2114.2,2280.4,2444.5,2586.2,2744.8,2859.6,NaN,3055.8,3203.8,3424.7,NaN,3507.3,3699.7,NaN,3891.1,4040.7,4262.2,NaN,4348.2,4529.2,4681.8,4797.5,4981.8,NaN,5180.2,5335.3,5563.2,NaN,5650.5,5846.7,NaN,6045.3,6198,6405.8,6558.3,6664,6857.6,NaN,7057.1,7210.2,7437.7,NaN,7523.4,7723.1,NaN,7926.3,8076.9,8240.8,NaN,8399.1,8585.4,8764.3,8879.2,9081,NaN,9280.5,9437.8,9694.8,9844.3,9961.2,10151,NaN,10357,10511,10676,NaN,10834,11027,NaN,11228,11384
2014.9,2170.2,2328.5,2501,2660.1,2819.8,NaN,3009.3,3156.7,3290,NaN,3474,3580.8,NaN,3845,3996.9,4130.9,NaN,4310.7,4421.8,4609.4,4755.6,4889.8,NaN,5128.7,5285.7,5420.8,NaN,5616.2,5725.5,NaN,5996.8,6152.4,6290,6484.6,6632.4,6738.7,NaN,7008.9,7164.3,7300.2,NaN,7488.2,7599.6,NaN,7875.2,8029.8,8169.5,NaN,8356.8,8497.2,8666.9,8841.5,8969.5,NaN,9234,9388.9,9525.8,9770.8,9919.8,10064,NaN,10310,10466,10600,NaN,10797,10934,NaN,11180,11336,11475
