n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l
1986,2127.8,2268.8,2417.3,2552.5,2693.5,2841.6,2944.9,NaN,3122.6,3261.2,3464.8,NaN,3543.7,3720.9,NaN,3905.4,4045,4252.7,NaN,4330.5,4516.8,NaN,4703.2,4845.3,5037.8,5183.8,5284.8,5465.8,NaN,5650.6,5799,6008.8,NaN,6088.2,6274.1,NaN,6459.7,6607,6802.5,6951.7,7056.4,7234.3,NaN,7423.4,7567.8,7779.2,NaN,7857,8043.5,NaN,8236.8,8380.5,8748,8888.9,9032.1,9141.6,NaN,9328.9,9473,9690.3,NaN,9771.4,9968.8,NaN,10159,10306,11096,11194,14586,14712,14861,15002,15138,15251,NaN,15431,15565,15769,NaN,15845,16024,NaN,16211,16353,16562,NaN,16641,16823,NaN,17009,17156,17333,17477,17575,17751,NaN,17941,18084,18293,NaN,18376,18559,NaN,18752,18904,19075,19223,19328,19513,NaN,19705,19852,20076,NaN,20163,20368,NaN,20568,20724,20933,21097,21223,21408,NaN,21603,21754,21920,NaN,22073,22268,NaN,22464,22610,22823,NaN,22908,23121,23270,23382,23569,NaN,23764,23911,24130,24280,24384,24585,NaN,24782
2028.2,2168,2328.9,2482.4,2627.4,2766.9,2911,NaN,3073.2,3218.8,3344.6,NaN,3511.2,3609.3,NaN,3865.3,4006.8,4125.4,NaN,4298.4,4409.5,NaN,4662.4,4802.9,4934.1,5117.5,5252.6,5362.7,NaN,5607.6,5753,5882.9,NaN,6057.3,6159.4,NaN,6416.5,6558.8,6691,6878.6,7021.5,7129.1,NaN,7378.2,7524.3,7651.6,NaN,7829.1,7936.8,NaN,8191.7,8325.7,8465.1,8813.5,8960.6,9104.6,NaN,9284,9424.7,9556.3,NaN,9737.8,9851.7,NaN,10110,10259,10386,11140,11278,14626,14777,14934,15078,15214,NaN,15376,15529,15649,NaN,15820,15915,NaN,16170,16317,16435,NaN,16613,16715,NaN,16966,17109,17243,17412,17546,17655,NaN,17899,18042,18169,NaN,18344,18460,NaN,18704,18854,18991,19150,19298,19406,NaN,19662,19807,19937,NaN,20127,20243,NaN,20519,20650,20806,21011,21173,21320,NaN,21559,21707,21840,NaN,22035,22158,NaN,22417,22560,22693,NaN,22876,22987,23190,23346,23482,NaN,23719,23864,23996,24206,24355,24468,NaN,24733,24846
