n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l
3408.9,3540.8,3686.7,3824.7,3962.9,4098.3,4234.5,4363.6,NaN,4544.4,4681.2,4876.3,NaN,4967,5151.2,NaN,5335.6,5479,5672.5,NaN,5763.9,5953.8,NaN,6139.7,6287.6,6469.7,6623.3,6723.8,6915,NaN,7103.6,7246.4,7443.3,NaN,7538.5,7725.7,NaN,7916.2,8057.9,8271.1,NaN,8350.3,8542.5,NaN,8734.4,8878.9,9087.1,NaN,9187.2,9390.2,9539.4,9678.7,9794.4,NaN,9986.5,10132,10333,NaN,10432,10638,10789,10907,11094,NaN,11285,11429,11632,NaN,11727,11916,NaN,12108,12254,12464,12612,12716,12904,NaN,13098,13250,13458,NaN,13555,13744,NaN,13937,14091,14320,NaN,14464,14765,NaN,14954,15109,15443,15587,15715,15902,NaN,16096,16248,16444,NaN,16542,16751,16906,17048,17205,17345,NaN,17536,17693,17900,NaN,18001,18271,NaN,18464,18625,18841,18985,19089,19294,NaN,19491,19649,19864,NaN,19952,20175,20359,20503,20654,20806,20933,NaN,21130,21291,21487,NaN,21592,21796,NaN,22000
3447,3598.7,3757.7,3896.2,4037.5,4176.2,4311.5,NaN,4503,4642.6,4764.8,NaN,4935.5,5042.3,NaN,5295.1,5437.6,5563.6,NaN,5736.6,5840.7,NaN,6095.6,6239.8,6376.9,6550.1,6696.8,6796.4,NaN,7058,7202.8,7329.9,NaN,7507.7,7614.4,NaN,7872.3,8018,8144.6,NaN,8324,8426.8,NaN,8691.5,8834.4,8965.1,NaN,9153.6,9263.2,9462.8,9616.6,9754,NaN,9943.2,10093,10218,NaN,10403,10508,10708,10866,11002,NaN,11238,11382,11516,NaN,11695,11803,NaN,12061,12216,12343,12540,12684,12794,NaN,13055,13205,13337,NaN,13521,13631,NaN,13896,14043,14176,NaN,14394,14659,NaN,14912,15058,15197,15515,15659,15814,NaN,16049,16203,16333,NaN,16513,16619,16823,16985,17126,17283,NaN,17494,17644,17778,NaN,17971,18084,NaN,18422,18558,18711,18916,19059,19172,NaN,19445,19594,19734,NaN,19913,20027,20246,20432,20580,20735,20886,NaN,21084,21232,21396,NaN,21557,21673,NaN,21948,22085
