n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
4023.6,4175.4,4333.8,4514.3,4666.2,4818,4971.1,5120.6,5228,NaN,5415.7,5561.8,5780.6,NaN,5859,6062.4,NaN,6247.4,6397.3,6618.2,NaN,6699.1,6889.3,NaN,7079.4,7227.7,7451.6,NaN,7531.3,7737,7889.2,8001,8190,NaN,8376.9,8530.1,8753,NaN,8835.8,9039.2,NaN,9237.3,9386.9,9618.4,NaN,9699.5,9897.5,NaN,10098,10258,10422,10581,10704,10894,NaN,11090,11244,11472,NaN,11553,11752,NaN,11949,12103,12379,12527,12638,12828,NaN,13028,13187,13349,NaN,13505,13713,NaN,13901,14060,14261,14420,14536,14740,14891,15044,15195,NaN,15388,15548,15771,NaN,15857,16075,16230,16388,16544,16662,NaN,16861,17024,17252,NaN,17337,17582,17743,17902,18061,18206,18365,18483,NaN,18678,18837,19001,NaN,19167,19369,NaN,19569,19726,19984,20132,20254,20437,NaN,20639,20799,21031,NaN,21117,21326,NaN,21528,21690
4064.8,4218.9,4379.2,4568,4725.2,4894,5044.9,5190.8,NaN,5361.9,5514.2,5645.8,NaN,5827.6,5931,NaN,6197.9,6342.8,6479.1,NaN,6664.6,6772.3,NaN,7029.5,7177.1,7312.9,NaN,7501.1,7606.4,7812.2,7965.4,8072.2,NaN,8328.9,8475.4,8618,NaN,8802,8913.5,NaN,9185.9,9335.2,9474.4,NaN,9667.5,9777.6,NaN,10047,10200,10346,10504,10655,10801,NaN,11045,11197,11330,NaN,11521,11632,NaN,11899,12054,12189,12457,12602,12733,NaN,12976,13134,13273,NaN,13467,13601,NaN,13846,14001,14147,14343,14497,14626,14812,14977,15123,NaN,15338,15495,15633,NaN,15822,15937,16149,16307,16463,16619,NaN,16809,16971,17108,NaN,17306,17413,17652,17819,17978,18142,18283,18441,NaN,18630,18782,18921,NaN,19118,19262,NaN,19520,19663,19811,20059,20208,20351,NaN,20591,20745,20886,NaN,21085,21199,NaN,21480,21624,21777
