n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,f
1987,2733.9,2859.7,3022.6,3180.9,3317.2,3474.1,3621,3763.7,3874.2,NaN,4061.1,4206.2,4419.8,NaN,4500.1,4683.2,NaN,4877.6,5023.1,5238.3,NaN,5318,5514.7,NaN,5697.5,5840,5995.7,NaN,6139.2,6327.2,NaN,6522.3,6667.3,6859.2,7009.7,7113.5,7303.8,NaN,7497.7,7649.7,8087.6,8232.9,8371.3,8491.7,NaN,8687.5,8835.7,9052.4,NaN,9132.1,9324,NaN,9520,9669.9,9914.7,NaN,9996.3,10214,10361,10495,10677,NaN,10873,11032,11194,NaN,11342,11540,11690,11807,11999,NaN,12196,12346,12565,NaN,12647,12871,13017,13139,13329,NaN,13531,13680,13884,14043,14151,14344,NaN,14541,14701,14931,NaN,15014,15212,15377,15526,15663,NaN,15860,16016,16175,NaN,16326,16546,16709,16834,17026,NaN,17225,17390,17819,17962,18116,18264,18379,NaN,18576,18738,18960,NaN,19048,19271,19431,19589,19745,19895,20060,20171,NaN,20375,20533,20693,NaN,20846
2027.8,2769.3,2917.1,3068.8,3226.7,3383.2,3547.1,3692.9,3833.5,NaN,4007.1,4160.2,4290.1,NaN,4463,4562.6,NaN,4824.9,4983.9,5107.5,NaN,5284.8,5391.2,NaN,5647.4,5793.7,5928,NaN,6104,6228.6,NaN,6468.5,6623.4,6751.4,6937.3,7082.9,7185.9,NaN,7448.7,7600,7735.5,8151.8,8305.5,8449.8,NaN,8641.1,8784.6,8918.4,NaN,9102.4,9205.1,NaN,9471.4,9616.8,9755.6,NaN,9961.3,10066,10282,10434,10582,NaN,10819,10972,11119,NaN,11304,11437,11615,11758,11901,NaN,12152,12303,12431,NaN,12613,12729,12942,13093,13232,NaN,13484,13635,13768,13966,14115,14228,NaN,14494,14647,14786,NaN,14983,15090,15286,15454,15602,NaN,15815,15967,16103,NaN,16290,16423,16619,16787,16929,NaN,17177,17312,17472,17892,18041,18193,18340,NaN,18530,18682,18824,NaN,19010,19122,19340,19509,19668,19821,19974,20133,NaN,20327,20479,20619,NaN,20808,20941
