n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
3684.2,3839,4013.6,4188.5,4334.5,4481.8,4627.2,4739,NaN,4930.1,5071.2,5263.5,NaN,5361.4,5541.9,NaN,5736.1,5878.9,6067.7,NaN,6174,6361.8,NaN,6554.4,6702.5,6894.2,7040.2,7147.9,7335.7,NaN,7530.8,7676.2,7834.9,NaN,7980.9,8168.2,NaN,8366.5,8515.8,8707.2,8854.7,8963.9,9157.4,NaN,9353.8,9505.6,9721.2,NaN,9804.8,10005,NaN,10206,10367,10585,10734,10842,11035,NaN,11231,11387,11538,NaN,11693,11881,NaN,12077,12237,12441,12599,12705,12907,NaN,13100,13263,13459,NaN,13563,13753,NaN,13956,14121,14285,NaN,14441,14642,14798,14908,15110,NaN,15307,15473
3720.7,3884.2,4054.9,4251.4,4409.6,4559.3,4697.8,NaN,4879.6,5028.3,5155.6,NaN,5334,5434.1,NaN,5689.6,5835.5,5964.3,NaN,6145,6259.7,NaN,6509.3,6654.7,6803.3,6975.7,7115.8,7227.4,NaN,7482.8,7631.2,7757.8,NaN,7944.4,8069.5,NaN,8338.2,8454.1,8600,8781.6,8926.9,9043.2,NaN,9310.2,9465.1,9587.8,NaN,9772.8,9882.8,NaN,10155,10274,10450,10660,10807,10925,NaN,11184,11334,11471,NaN,11658,11793,NaN,12030,12179,12319,12510,12672,12782,NaN,13056,13192,13343,NaN,13531,13651,NaN,13907,14061,14206,NaN,14404,14534,14717,14873,14995,NaN,15261,15415,15555
