n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1993.2,2126.5,2264.8,2405.8,2543,2651.6,NaN,2836.6,2972.7,3168.3,NaN,3259.9,3438.6,NaN,3631.5,3774.9,3986.5,NaN,4070,4248.9,NaN,4438.7,4582.8,4794.6,NaN,4872.8,5058.1,NaN,5250.9,5397.4,5618.2,NaN,5696.3,5885,NaN,6080.2,6230.3,6446.8,NaN,6528.1,6720.8,6867,6976.6,7171.6,NaN,7357.8,7516.2,7675.3,NaN,7815.1,8010.6,NaN,8208.5,8361.9,8568.2,8719.2,8827.9,9016.8,NaN,9215.2,9367.7,9962.7,10096,10239,10373,NaN,10567,10719,10936,NaN,11019,11249,11399,11526,11721,NaN,11916,12075,12284,12447,12553,12775,12940,13082,13237,13353,NaN,13541,13709,13927,NaN,14012,14219,NaN,14414,14574,14864,15008,15111,15298,NaN,15501,15654,15868,NaN,15955,16150,NaN,16347,16504
2034.1,2184.5,2340.8,2481.8,2620.7,NaN,2783.5,2935.2,3053.7,NaN,3233.7,3329.5,NaN,3583.5,3733.1,3858.1,NaN,4038.7,4144,NaN,4393.7,4544.7,4665.9,NaN,4841.8,4945.7,NaN,5203.3,5346.2,5479.3,NaN,5668.1,5770.7,NaN,6030.3,6167.7,6312.5,NaN,6495.6,6597.8,6790.3,6935.6,7064.2,NaN,7310.1,7454.1,7595.5,NaN,7778.9,7906.3,NaN,8159.7,8306.2,8445.1,8647,8790.8,8920.5,NaN,9166.6,9311.6,9448.3,10025,10170,10313,NaN,10522,10662,10801,NaN,10986,11091,11316,11473,11616,NaN,11872,12006,12160,12355,12518,12626,12845,13013,13154,13309,NaN,13484,13638,13789,NaN,13975,14101,NaN,14368,14512,14655,14938,15077,15178,NaN,15449,15598,15740,NaN,15918,16023,NaN,16292,16446,16585
