n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f
2263.7,2426.8,2584.7,2741.2,2876.4,3029.2,3183,3328.7,3480,3623.4,3744.7,NaN,3936.3,4078.5,4287.7,NaN,4368.2,4556.4,NaN,4746.1,4888.8,5105.7,NaN,5187.4,5385.4,5535,5690.1,5800.4,NaN,5990.8,6137.2,6351.2,NaN,6430.3,6626.5,NaN,6822.8,6972.7,7193.4,NaN,7274.7,7480.2,NaN,7666.8,7814.3,8035.7,NaN,8117.7,8317,8469.5,8620.5,8776.9,8899,NaN,9096.6,9244.1,9466.7,NaN,9547.8,9759.5,9918.4,10067,10218,10374,10481,NaN,10677,10830,11000,NaN,11139,11339,NaN,11541,11696,11933,12092,12263,12448,NaN,12658,12811,13022,NaN,13122,13317,NaN,13518,13666,13899,14049,14163,14386,14552,14698,14855,15305,15448,15603,15751,15863,NaN,16060,16214,16381,NaN,16543,16759,16937,17100,17287,17435,17583,17702,NaN,17895,18054,18229,NaN,18474,18641,18791,18934,NaN,19133,19287,19541,NaN,19621,19840,19997,20161,20321,20474,NaN,20679,20837,21002,NaN,21155
2310.2,2480.7,2640.5,2798.6,2939.1,3094.1,3236.4,3395.6,3558.6,3695.7,NaN,3889.1,4024.6,4159.6,NaN,4336.2,4434.5,NaN,4699,4839.8,4973.4,NaN,5154.2,5258.9,5459.1,5610.1,5765.5,NaN,5928.7,6086.5,6219.8,NaN,6399.2,6501.3,NaN,6774.5,6919.3,7052.4,NaN,7241.2,7346.6,NaN,7614.1,7752.8,7897.5,NaN,8085.9,8191.8,8387.6,8546.1,8700.5,8852.2,NaN,9048.5,9183.3,9329.5,NaN,9516.1,9616.4,9833.3,9992.8,10146,10298,10451,NaN,10617,10779,10916,NaN,11102,11230,NaN,11492,11640,11781,12008,12167,12352,NaN,12601,12761,12897,NaN,13095,13197,NaN,13466,13613,13748,13974,14127,14244,14454,14626,14783,14936,15372,15528,15681,15827,NaN,15997,16154,16305,NaN,16492,16633,16825,17019,17174,17366,17514,17663,NaN,17848,17986,18140,NaN,18337,18547,18721,18871,NaN,19086,19226,19376,NaN,19589,19696,19911,20076,20260,20405,NaN,20631,20782,20922,NaN,21115,21250
