n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,l,a,b,l,e
2108.8,2261.2,2400.6,2545.1,2686.7,2810.3,NaN,2997.1,3135.3,3342.4,NaN,3421,3602.4,NaN,3791.4,3933.4,4145.3,NaN,4224.2,4421.3,NaN,4610.4,4757.1,4955.5,NaN,5053,5243,5389.7,5494.2,5676.8,NaN,5867.2,6014.6,6197.8,6344.6,6453.8,6641.8,NaN,6832.7,6976,7168.8,NaN,7276.4,7459,NaN,7651.7,7807.1,8022.3,8167.4,8266.8,8454.8,NaN,8643.2,8788.7,8991.2,NaN,9093.1,9288,NaN,9476.6,9629.9,9834.7,9981.9,10088,10269,NaN,10464,10611,10809,NaN,10905,11119,11205,NaN,11315,11467
2155.8,2328.4,2471.3,2622.3,2762.1,NaN,2953.3,3097.1,3216.7,NaN,3390.4,3493.1,NaN,3748.9,3892.8,4021.2,NaN,4192.2,4300.2,NaN,4565.5,4709.1,4847.5,NaN,5022.3,5130.5,5316.1,5457,5568.8,NaN,5823.5,5970,6096.1,6271.4,6418.4,6527.5,NaN,6790.3,6933.5,7060.8,NaN,7240.3,7349,NaN,7608,7759,7891.1,8100.5,8233.7,8347.9,NaN,8599.3,8747,8874.6,NaN,9056.9,9175.2,NaN,9433.7,9583.2,9711.6,9910.6,10054,10164,NaN,10415,10568,10696,NaN,10874,10985,11163,NaN,11271,11420,11557
