n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e
1989.9,2118.8,2262.2,2405.8,2552.8,2687.2,NaN,2875.6,3019.9,3228.4,NaN,3307.7,3491.1,NaN,3680.9,3825.4,3995.5,NaN,4124.5,4314.8,NaN,4504,4651.6,4842.9,NaN,4948.4,5119.5,5271.7,5377.2,5556.2,NaN,5745,5892.8,6054,NaN,6202.2,6388.5,NaN,6580.7,6726.8,6905.4,NaN,7028.1,7216.8,7363.8,7474.8,7653.4,NaN,7844.2,7992,8156.9,NaN,8294.2,8500.9,8652.5,8784.2,8890.1,NaN,9081.7,9229.3,9409.9,NaN,9530.2,9714.8,NaN,9910.2,10060,10228,10381,10490,10689,NaN,10886,11033,11234,NaN,11334,11526,NaN,11717,11879,12232,12376,12485,12663,NaN,12857,13013,13233,NaN,13318,13497,13657,13769,13971,NaN,14173,14326,14538,NaN,14641,14829,NaN,15024,15181,15333,NaN,15486,15707,15873,16015,16153,16264,NaN,16459,16620
2031.5,2171.1,2330.3,2482,2628.7,NaN,2830.9,2973.5,3106.8,NaN,3279,3382.7,NaN,3636.5,3780.5,3927.9,NaN,4095.7,4203,NaN,4460.1,4609,4736.9,NaN,4916.3,5022.5,5197.1,5343.6,5452.7,NaN,5702.7,5842.5,5988.8,NaN,6166.8,6299.8,NaN,6535.5,6679.8,6831.1,NaN,6998.1,7108.2,7293.2,7439.2,7551.3,NaN,7799.3,7942.2,8075.8,NaN,8260.5,8373.5,8571.1,8729.5,8862.6,NaN,9028.2,9186.2,9340.3,NaN,9496.6,9615.5,NaN,9862.8,10017,10161,10304,10453,10583,NaN,10839,10984,11123,NaN,11305,11414,NaN,11670,11812,11963,12304,12449,12578,NaN,12812,12961,13098,NaN,13285,13394,13572,13733,13869,NaN,14126,14265,14415,NaN,14611,14715,NaN,14977,15127,15264,NaN,15449,15579,15778,15950,16091,16233,NaN,16408,16562,16723
