n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1978,2160.2,2797.8,2951.9,3102.8,3254.6,3401.8,3512.8,NaN,3697.2,3847,4060.1,NaN,4139.8,4331.2,NaN,4528.7,4674.5,4888.7,NaN,4969.1,5147.1,5297.2,5405.4,5588.6,NaN,5782.6,5930.1,6145.3,NaN,6227.4,6413.6,NaN,6609.3,6757.8,6970.5,7118.5,7224.5,7408.5,NaN,7602.8,7753.2,7966.2,NaN,8049.4,8239.2,8388.9,8493,8680.1,NaN,8873.1,9032,9247.8,NaN,9333.1,9524,NaN,9717.8,9873.1,10047,NaN,10179,10364,10513,10620,10808,NaN,11003,11149,11371,NaN,11453,11713,11867,12010,12136,NaN,12333,12481,12696,NaN,12780,12991,NaN,13187,13338,13555,NaN,13639,13847,NaN,14043,14213
2014.2,2210.6,2847.4,3011.1,3176.1,3329.2,3475.4,NaN,3646.2,3783.7,3925.2,NaN,4107.6,4213.6,NaN,4480.5,4615.6,4757.2,NaN,4938,5039.6,5220.5,5367.8,5490.2,NaN,5733.1,5874.9,6011,NaN,6194.8,6299.9,NaN,6556.4,6697.5,6840.2,7046.1,7189,7293.5,NaN,7552.4,7690.2,7834.1,NaN,8015.2,8122.5,8311.6,8460.8,8563.2,NaN,8823.9,8972,9112.8,NaN,9299.2,9404.4,NaN,9672.2,9807,9953.2,NaN,10144,10273,10440,10585,10713,NaN,10955,11098,11230,NaN,11421,11526,11778,11941,12083,NaN,12286,12420,12565,NaN,12746,12854,NaN,13137,13285,13419,NaN,13604,13715,NaN,13998,14130,14297
