n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,n,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,n,n,f,a,b,l,e
1796,1977.3,2274.1,2439.9,2592.6,2751.1,2905.9,3055.8,3215.2,3329.6,NaN,3516.5,3670.8,3832,NaN,3978.6,4180.4,NaN,4374.2,4528.8,4747.1,NaN,4831.6,5040.8,NaN,5230.8,5383.8,5593.4,NaN,5690.5,5892.5,NaN,6091.3,6277.4,6443.2,NaN,6593.1,6797.4,NaN,6996.8,7159,7396.4,NaN,7479.5,7703.5,7861.1,8015.2,8168.4,8301.3,8486,NaN,8684,8837.6,9032,NaN,9146.8,9366.5,NaN,9557.4,9725.8,9889.2,NaN,10058,10271,10445,10614,10783,10948,11094,11213,NaN,11413,11578,12111,12257,12378,12570,NaN,12774,12931,13100,NaN,13249,13462,NaN,13665,13833,13998,NaN,14161,14373,NaN,14572,14743,14991,15150,15305,15506,NaN,15712,15878,16116,16278,16447,16592,16716,NaN,16912,17072,17250,17408,17524,17736,NaN,17939,18101,18326,NaN,18416,18654,18856,19030,19199,19353,19600,19742,19880,20083,NaN,20287,20457
1842.2,2022.5,2325.8,2500.8,2665.3,2824.2,2981.8,3131.4,3292.3,NaN,3462.6,3616.1,3754.3,NaN,3940.2,4077.6,NaN,4326.7,4475.6,4613.5,NaN,4796.7,4897.1,NaN,5172.5,5326.7,5468.1,NaN,5657.7,5767,NaN,6040.6,6189,6358,NaN,6549.2,6682.3,NaN,6944.9,7094.1,7247.5,NaN,7446.7,7555.4,7773.5,7936.1,8093.2,8250.3,8388.9,NaN,8639.6,8781.1,8925.2,NaN,9111.3,9243.3,NaN,9510.6,9660.1,9806.8,NaN,10003,10147,10340,10520,10687,10865,11027,11174,NaN,11360,11515,11663,12176,12333,12477,NaN,12722,12877,13017,NaN,13214,13346,NaN,13614,13761,13921,NaN,14117,14265,NaN,14521,14674,14829,15064,15228,15403,NaN,15660,15817,15965,16173,16360,16529,16672,NaN,16863,17006,17131,17328,17485,17623,NaN,17888,18046,18190,NaN,18382,18492,18720,18936,19106,19305,19456,19666,19822,19970,NaN,20233,20382,20548
