n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l
1989.2,2185.1,2378.4,2529.7,2684.7,2836.4,2988.8,3107.9,NaN,3296.2,3443.7,3661.4,NaN,3744.2,3933.4,NaN,4130.9,4283,4508.1,NaN,4594.1,4799.2,NaN,4997.8,5156.6,5314.9,NaN,5471.9,5661.9,NaN,5860.8,6017.1,6197,6348.9,6462,6664.9,NaN,6865.9,7019.7,7182.1,NaN,7337.7,7549.8,NaN,7752.1,7924.4,8136.7,8294.8,8401.7,8592.8,NaN,8792.5,8952,9112.5,NaN,9268.7,9479.1,NaN,9680.9,9853.6,10105,10254,10374,10608,10766,10891,11090,NaN,11294,11449,11675,NaN,11768,11999,12172,12349,12477,NaN,12677,12836,12999,NaN,13148,13448,13597,13736,13937,NaN,14142,14308,14515,14679,14798,14994,NaN,15195
2033.3,2239.3,2444.2,2607.5,2763.1,2913.1,3066.5,NaN,3240.2,3393.6,3531.2,NaN,3708.3,3817.8,NaN,4082.4,4227.5,4368.8,NaN,4559.3,4671.3,NaN,4946.8,5099.6,5246.7,NaN,5432,5563.1,NaN,5809.6,5961.9,6107,6277,6427.1,6535.2,NaN,6815.7,6972.2,7107.5,NaN,7298.2,7428.3,NaN,7698.7,7855.2,8005.6,8215.3,8366,8496,NaN,8745.2,8904.2,9043.5,NaN,9233,9363.9,NaN,9627.5,9763.4,9935.8,10173,10334,10464,10678,10842,10980,NaN,11242,11389,11538,NaN,11723,11853,12070,12249,12425,NaN,12622,12781,12920,NaN,13111,13240,13553,13674,13828,NaN,14089,14243,14395,14598,14755,14894,NaN,15148,15300
