n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1961,2086.6,2243.3,2383.3,2529.6,2660.6,2803.6,2907,NaN,3085,3221.6,3427.1,NaN,3507,3684.4,NaN,3871.2,4015.2,4206.4,NaN,4302.2,4487.2,NaN,4674.1,4814.8,5033.1,NaN,5115.5,5294.1,5438.4,5546.2,5719.6,NaN,5908.8,6053.8,6266.9,NaN,6347.7,6532.6,NaN,6722.9,6874.4,7077.2,NaN,7172.9,7374,NaN,7562.4,7705.5,7916.2,8058.5,8166.2,8347.3,NaN,8536.3,8681.6,8879.2,NaN,8978.9,9188.1,9333.5,9480.7,9613.3,NaN,9803.6,9955,10173,NaN,10256,10450,NaN,10640,10795,11000,NaN,11095,11294,11454,11556,11764,NaN,11952,12107
2013.6,2136.8,2310.8,2456.7,2601,2734.7,2868.8,NaN,3041,3182.6,3307.1,NaN,3474.4,3576.4,NaN,3824.6,3976.5,4101.3,NaN,4271,4378.9,NaN,4630.7,4776.9,4898.3,NaN,5080.2,5194.7,5367.3,5507.2,5618.6,NaN,5865.4,6007.8,6139.5,NaN,6318,6422.3,NaN,6679.6,6824.1,6957.1,NaN,7137.9,7247,NaN,7520.8,7664.7,7795.2,7994.6,8132.9,8242.9,NaN,8494.7,8641.6,8768.8,NaN,8951.5,9057,9250.5,9409.7,9556.1,NaN,9760.8,9911.4,10040,NaN,10225,10333,NaN,10595,10749,10881,NaN,11061,11179,11374,11523,11638,NaN,11909,12057,12192
