n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1976,2131.4,2270.9,2408.3,2573.5,2705.3,2858.9,3004.4,3118.1,NaN,3308.3,3451.1,3661.2,NaN,3741.2,3930.1,NaN,4118.5,4261.6,4474.8,NaN,4557.3,4741.4,NaN,4934,5078.4,5291.1,NaN,5369,5559.1,5704.8,5807.3,5984.1,NaN,6176,6320.6,6499.5,6643.3,6750,6939.4,NaN,7129.8,7271.3,7489.7,NaN,7570.7,7756.5,NaN,7949.9,8100,8309.1,8452.9,8558.4,8744.1,NaN,8937,9084.3,9310.9,9458.6,9565.8,9747.7,NaN,9941.7,10089,10303,NaN,10383,10562,10713,10827,11018,NaN,11215,11370,11600,NaN,11682,11882,NaN,12077,12228,12467,12619,12724,12929,NaN,13125,13280
2014.5,2185.6,2331.5,2463.1,2628.6,2773.2,2935.3,3081.4,NaN,3262.2,3408.2,3536.5,NaN,3712.9,3816.7,NaN,4073.5,4215.3,4348.2,NaN,4525.2,4633.9,NaN,4887,5036.2,5162,NaN,5339.9,5447,5635.1,5777.8,5886.1,NaN,6130.5,6278.8,6405.5,6571.9,6716.6,6822.2,NaN,7084.3,7232.9,7353.7,NaN,7539.7,7646.3,NaN,7900.8,8053.6,8184.5,8385.6,8527.8,8635.7,NaN,8891.1,9037.9,9165.4,9388.5,9531.4,9641.8,NaN,9893.7,10043,10172,NaN,10356,10460,10639,10790,10905,NaN,11164,11318,11455,NaN,11650,11762,NaN,12032,12183,12311,12543,12695,12806,NaN,13078,13230,13367
