n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f
2579.9,2751.6,2896.3,3044.3,3194,3347.1,3503.2,3658.8,3806.8,3927.2,NaN,4111.8,4253.8,4461.6,NaN,4539.4,4727.1,NaN,4912,5052,5260.6,NaN,5337.8,5519,NaN,5705.2,5846.8,6056.3,NaN,6137.5,6321.8,NaN,6509.8,6650.5,6854.3,7001.8,7105.7,7283.9,NaN,7471.2,7616.8,7836.5,NaN,7930.5,8122.5,NaN,8313.2,8456.6,8655.5,NaN,8751,8945.6,9091.3,9225.2,9349.9,NaN,9538,9685.7,9898.2,NaN,9980.1,10161,10309,10410,10590,NaN,10780,10926,11136,11280,11385,11564,NaN,11755,11901,12098,NaN,12197,12389,NaN,12578,12747,13038,13181,13286,13480,NaN,13673,13825,14040,NaN,14121,14321,NaN,14512,14666,14885,NaN,14971,15180,15334,15474,15602,NaN,15789,15939,16175,NaN,16255
2621.3,2810.6,2971,3119.7,3268.7,3422.9,3579.2,3736.4,3882,NaN,4069.4,4211.2,4336.4,NaN,4510.3,4612,NaN,4871.6,5013.3,5135.7,NaN,5311.8,5414.2,NaN,5660.8,5806.3,5928.8,NaN,6109.2,6214.1,NaN,6468,6612.7,6734.8,6930,7073.4,7178.4,NaN,7428.4,7570.5,7703.1,NaN,7903.5,8007.3,NaN,8267.7,8413.3,8540.9,NaN,8720.3,8827.7,9017.2,9167.6,9300.4,NaN,9496.4,9641,9771.4,NaN,9950.9,10059,10236,10376,10486,NaN,10736,10881,11011,11212,11357,11460,NaN,11709,11854,11985,NaN,12166,12272,NaN,12538,12682,12831,13115,13252,13370,NaN,13627,13776,13911,NaN,14092,14205,NaN,14467,14617,14748,NaN,14937,15050,15251,15415,15553,NaN,15748,15896,16025,NaN,16229,16336
