n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2768.4,2925.1,3078.8,3221.9,3375.3,3523.8,3636.1,NaN,3823.6,3964.7,4174.8,NaN,4256.2,4439.1,NaN,4628.4,4776.4,4986.8,NaN,5071,5256.2,NaN,5445.6,5593.8,5804.6,NaN,5889.1,6072,NaN,6262.7,6409.1,6593.1,6743.8,6848.1,7023.2,NaN,7216.6,7364.4,7552.8,7699.3,7808.3,7993.8,NaN,8186.4,8333.8,8551.1,NaN,8635.5,8838.7,NaN,9026.8,9180.8,9376.8,NaN,9478.4,9668.5,NaN,9860.5,10007,10229,NaN,10312,10499,NaN,10692,10849,11081,11230,11339,11524,NaN,11717,11867,12092,NaN,12178,12368,12518,12630,12821,NaN,13016,13176,13324,NaN,13481,13681,NaN,13878,14033,14228,NaN,14342,14564,14718,14863,15006,15109,NaN,15307,15460,15683,NaN,15769,15971,NaN,16172,16332
2818.8,2982,3133.2,3295.1,3451.2,3599.1,NaN,3777.6,3921.9,4047.8,NaN,4224.9,4332.7,NaN,4585.6,4732.7,4862.5,NaN,5040.6,5150.6,NaN,5401.8,5550.2,5680,NaN,5856.1,5967.1,NaN,6216.1,6363.8,6491.8,6671.8,6812.3,6923.8,NaN,7169.2,7322.9,7448.1,7628.7,7774.1,7883.3,NaN,8139.6,8290.8,8421.1,NaN,8603.7,8718.2,NaN,8980.1,9135.7,9262.8,NaN,9445.6,9563,NaN,9815.5,9968.2,10093,NaN,10282,10392,NaN,10647,10800,10936,11157,11307,11421,NaN,11671,11824,11953,NaN,12145,12255,12443,12594,12727,NaN,12973,13100,13259,NaN,13445,13574,NaN,13831,13983,14118,NaN,14306,14426,14635,14800,14943,15084,NaN,15248,15416,15547,NaN,15736,15852,NaN,16125,16277,16418
