n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e
3371.3,3512.6,3685.3,3851.1,4026.1,4201.3,4373.1,4536.1,4688.1,4879,5038.4,5186.7,NaN,5382.5,5526.9,5747.6,NaN,5831.2,6028,NaN,6222.2,6372.2,6595.7,NaN,6676.1,6865.8,NaN,7061.5,7212.6,7398.6,7560.7,7671.9,7854,NaN,8052.7,8203.6,8426.3,NaN,8509.6,8704.8,NaN,8903.4,9058.8,9288.5,NaN,9373,9585.2,9740.7,9852.1,10046,NaN,10243,10396,10552,NaN,10705,10914,11068,11176,11379,NaN,11578,11737,11945,12108,12269,12426,12570,12689,NaN,12888,13041,13267,NaN,13355,13546,NaN,13748,13901,14132,NaN,14218,14435,14599,14716,14909,NaN,15110,15270,15593,15739,15933,16086,16249,16379,NaN,16574,16730,16888,NaN,17054,17256,NaN,17459,17630,18083,18231,18346,18538,NaN,18742,18904,19132,NaN,19220,19433,19598,19765,19946,20109,20247,NaN,20448,20609,20833,NaN,20920,21132,NaN,21333,21495,21661,NaN,21938,22111,22267,22415,22552,NaN,22749,22912
3414.9,3565.8,3740,3901.7,4077.4,4262.6,4444.1,4609,4762.2,4949.6,5112,NaN,5335.5,5489.7,5613.6,NaN,5793.8,5936.5,NaN,6178.3,6325.5,6463.2,NaN,6646.5,6754.1,NaN,7017.3,7169.8,7297.3,7477.4,7633.5,7744.9,NaN,8007.6,8161.6,8288.9,NaN,8472.5,8592,NaN,8856.8,9008.7,9143.6,NaN,9338,9454,9659.5,9815.7,9959.9,NaN,10197,10352,10483,NaN,10669,10809,10992,11140,11279,NaN,11532,11686,11822,12029,12187,12348,12500,12652,NaN,12840,12996,13129,NaN,13320,13438,NaN,13703,13847,13992,NaN,14188,14300,14512,14678,14819,NaN,15064,15212,15358,15658,15813,16009,16169,16330,NaN,16529,16683,16817,NaN,17010,17148,NaN,17410,17563,17716,18149,18306,18452,NaN,18696,18845,18990,NaN,19187,19303,19502,19675,19846,20022,20188,NaN,20401,20556,20700,NaN,20882,21003,NaN,21285,21443,21586,NaN,21786,22014,22190,22345,22500,NaN,22701,22856,23000
