n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
3779,3938.8,4112.9,4263.2,4420,4562.3,4690.7,NaN,4883.9,5028.9,5238.9,NaN,5321.8,5506.8,NaN,5702.3,5851.3,6069.1,NaN,6152.7,6333,6480.1,6587.2,6777.3,NaN,6973.6,7129.7,7342.7,NaN,7427,7621.2,NaN,7817.9,7968.5,8188.8,NaN,8269.6,8466.3,NaN,8662.7,8819.6,8979.7,NaN,9137.2,9323.8,NaN,9522.7,9681.6,9915,10068,10171,10370,NaN,10564,10731,10956,NaN,11041,11246,11403,11519,11707,NaN,11906,12068
3831.2,3997.1,4165.5,4329.3,4495.1,4639.1,NaN,4838.9,4988.4,5112,NaN,5293.1,5392,NaN,5653.9,5805.9,5936.8,NaN,6120,6233.9,6407.6,6555,6664,NaN,6925.4,7079.2,7212.7,NaN,7395.3,7501.6,NaN,7772.2,7920.8,8052.1,NaN,8240.1,8345.7,NaN,8614,8765.6,8909.2,NaN,9100.4,9228.7,NaN,9477.7,9626.1,9769,9994.6,10142,10250,NaN,10520,10673,10816,NaN,11009,11123,11321,11479,11623,NaN,11861,12012,12155
