n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
2535.8,2652.3,2792.1,2937.5,3075.3,3211.4,NaN,3389.4,3528.9,3740.5,NaN,3822.1,4001.5,NaN,4191.1,4331.7,4549.7,NaN,4629.8,4812.4,NaN,5001,5152.1,5348.1,NaN,5450.8,5634.3,5780.3,5923.6,6072.7,NaN,6261.9,6406.3,6624.2,6767.2,6870.9,7057.3,NaN,7247.2,7389.5,7590.2,NaN,7685.9,7862.1,NaN,8051.6,8216.1,8382.5,8526.4,8640.4,8820,NaN,9010.5,9157.4,9355.4,NaN,9451.1,9642.8,NaN,9838.7,9988.8,10168,10318,10424,10614,NaN,10807,10955,11163,NaN,11258,11457,11610,11722,11899,NaN,12090,12240,12457,NaN,12541,12725,NaN,12922,13083,13316,13464,13571,13789,13939,14089,14193,NaN,14388,14538,14715,NaN,14859,15097,15253,15382,15577,NaN,15772,15930,16093,NaN,16253,16485,16664,16810,16944,NaN,17139,17292,17499,NaN,17597,17781,NaN,17976,18131,18308,18465,18585,18784,NaN,18983
2566.3,2707.8,2866.7,3011.3,3153.9,NaN,3348.2,3491,3613,NaN,3789.3,3895.3,NaN,4148,4289.4,4415.4,NaN,4598.2,4702.3,NaN,4958.4,5108.2,5235.3,NaN,5416.9,5523.2,5709.4,5850.5,5959.5,NaN,6213.2,6365.2,6491.1,6703.2,6840,6945.8,NaN,7201.5,7348.2,7476.6,NaN,7653.2,7757.7,NaN,8015.6,8140,8295.2,8457.4,8601.3,8726.9,NaN,8967.5,9106.2,9236.1,NaN,9418.4,9526.2,NaN,9790,9932.5,10073,10244,10389,10515,NaN,10758,10904,11039,NaN,11223,11328,11533,11685,11807,NaN,12044,12182,12327,NaN,12505,12611,NaN,12877,13022,13165,13390,13538,13645,13856,14018,14164,NaN,14331,14490,14625,NaN,14822,14951,15161,15324,15470,NaN,15725,15876,16014,NaN,16204,16342,16546,16738,16890,NaN,17092,17242,17378,NaN,17563,17674,NaN,17931,18073,18218,18385,18538,18682,NaN,18935,19058
