n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,a,b,l,e
4557.8,4700.8,4856.7,5009.2,5157.9,5325.1,5464.1,5613.4,5739,NaN,5933.8,6082.1,6294.8,NaN,6374.5,6561.8,NaN,6756.4,6903.7,7124.7,NaN,7208,7398.2,7550.6,7657,7834.4,NaN,8028.1,8182.7,8400.3,NaN,8484.9,8674.3,NaN,8865.3,9017.6,9228,NaN,9324.5,9510.8,NaN,9703.5,9857.9,10074,NaN,10157,10352,10506,10631,10808,NaN,11002,11149,11369,NaN,11453,11635,11793,11904,12099,NaN,12294,12437,12660,NaN,12744,12950,NaN,13144,13317,13566,13713,13818,14011,NaN,14205,14361,14577,NaN,14658,14852,NaN,15050,15197,15477,15622,15733,15918,NaN,16118,16275,16495,NaN,16576,16797,16971,17113,NaN,17304,17476
4612.6,4765.6,4917.4,5072.6,5216.9,5389,5544.9,5694.8,NaN,5888.7,6038.8,6167.9,NaN,6341.7,6450.2,NaN,6710.2,6861.9,6992.5,NaN,7174,7280.9,7476.5,7629.6,7733.2,NaN,7983.8,8131.5,8266.8,NaN,8448.8,8555.4,NaN,8817.3,8971.7,9102.2,NaN,9291.3,9399.3,NaN,9659.1,9813.7,9941.3,NaN,10126,10226,10429,10580,10729,NaN,10956,11107,11235,NaN,11421,11531,11711,11871,11986,NaN,12246,12392,12523,NaN,12711,12819,NaN,13100,13249,13409,13642,13785,13892,NaN,14158,14314,14446,NaN,14630,14735,NaN,15003,15151,15284,15521,15697,15838,NaN,16071,16229,16364,NaN,16548,16649,16866,17049,NaN,17263,17410,17559
