n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,n
2428,2579.2,2725.2,2869.2,3008.7,3120.9,NaN,3300.4,3438.5,3648.9,NaN,3727.2,3914.3,NaN,4100,4241.9,4451.6,NaN,4535.4,4724.8,NaN,4912.7,5056.2,5272.2,NaN,5350.8,5554.1,5700.4,5841.4,5957,NaN,6143.7,6282.8,6477.7,NaN,6581.1,6767.5,NaN,6956.9,7105.6,7322.8,NaN,7403.6,7599.8,NaN,7790.4,7940.2,8152.2,8297,8403.8,8583.9,NaN,8780.5,8929.1,9439.1,9589.8,9740.1,9890.4,10026,NaN,10215,10367,10517,10871,11030,11191,11308,NaN,11502,11647,11798
2538.2,2648.3,2802.8,2947.4,3079.1,NaN,3249,3401.2,3528.7,NaN,3698.8,3801.5,NaN,4057,4201.8,4328.1,NaN,4503.5,4612.1,NaN,4870.6,5014.1,5137.2,NaN,5321.2,5426.3,5622,5778.2,5918.7,NaN,6102.6,6245.5,6367.7,NaN,6550,6654.6,NaN,6912.4,7058.6,7188.5,NaN,7374.2,7475.8,NaN,7746.4,7895.2,8025.5,8227.6,8370,8474.6,NaN,8734.1,8879.6,9189.2,9507.5,9667.7,9818,9972.3,NaN,10170,10322,10452,10655,10939,11111,11270,NaN,11458,11606,11735,11915
