n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f
3007.3,3170.9,3314.7,3458.1,3602.6,3753,3900.8,4043.2,NaN,4226.8,4374,4582.7,NaN,4660.8,4848.3,NaN,5041.2,5188,5399,NaN,5478.6,5675.2,5818.2,5924.9,6109.8,NaN,6303.4,6453.9,6666.7,NaN,6748.9,6949.7,7102.1,7210,7395,NaN,7589.5,7738.2,7931,8075.3,8178.9,8365.2,NaN,8556.9,8702.1,8916.1,NaN,8999.3,9204.8,NaN,9392,9544.1,9763.6,9910.6,10020,10210,NaN,10398,10548,10760,NaN,10844,11052,NaN,11239,11387,11616,11761,11863,12047,NaN,12243,12396,12620,NaN,12700,12893,NaN,13089,13240,13459,NaN,13541,13741,13907,14015,14222,NaN,14420,14595,14772,14935,15044,15237,NaN,15438,15594,15918,16056,16169,16357,NaN,16553,16704,16919,NaN,16998,17198,NaN,17397,17559,17781,NaN,17865,18101,18258,18397,18541,NaN,18737,18895,19119,NaN,19203
3050.6,3229.9,3369.7,3521.9,3676.6,3826.1,3974.9,NaN,4178.8,4320.5,4456.7,NaN,4628,4732.2,NaN,4995,5126.6,5269.6,NaN,5448.8,5547.8,5751.8,5888.5,6013.9,NaN,6255.3,6386.1,6536.5,NaN,6716.5,6812.9,7025.7,7174,7277.6,NaN,7540.3,7674.6,7822.6,8003.4,8145.3,8253.8,NaN,8511.1,8646,8783,NaN,8966.4,9070.6,NaN,9342.1,9480.2,9623.9,9840.4,9981.7,10111,NaN,10352,10491,10628,NaN,10812,10914,NaN,11192,11329,11469,11692,11830,11931,NaN,12198,12338,12476,NaN,12670,12774,NaN,13037,13181,13323,NaN,13508,13612,13816,13977,14107,NaN,14374,14514,14677,14849,15008,15135,NaN,15390,15540,15680,15987,16132,16261,NaN,16508,16644,16784,NaN,16970,17074,NaN,17349,17495,17645,NaN,17835,17942,18165,18333,18475,NaN,18690,18829,18979,NaN,19173,19276
